instance,algorithm,parallel,chains,threads,iterations,runs,bks,best_length_min,gap_percent,elapsed_ms_mean,elapsed_ms_std,elapsed_ms_best,speedup,parallel_efficiency_percent,accepted_moves_mean,improved_moves_mean
berlin52,qlsa-multichain,none,32,1,1000000,3,7542,7542,0.000000,2217.894667,48.922339,2164.874000,1.000000,,3265619.666667,1499842.000000
berlin52,qlsa-omp,omp,32,8,1000000,3,7542,7542,0.000000,411.444667,48.244912,380.397000,5.390505,67.381317,3265619.666667,1499842.000000
berlin52,sa-multichain,none,32,1,1000000,3,7542,7542,0.000000,1043.052667,5.650803,1036.565000,1.000000,,2967436.333333,1451913.666667
berlin52,sa-omp,omp,32,8,1000000,3,7542,7542,0.000000,202.402333,4.110941,197.743000,5.153363,64.417036,2967436.333333,1451913.666667
eil101,qlsa-multichain,none,32,1,1000000,3,629,637,1.271860,2490.072000,88.380254,2418.789000,1.000000,,9041801.333333,4269273.333333
eil101,qlsa-omp,omp,32,8,1000000,3,629,637,1.271860,445.503333,16.873260,431.248000,5.589345,69.866817,9041801.333333,4269273.333333
eil101,sa-multichain,none,32,1,1000000,3,629,635,0.953895,1325.891000,28.984682,1293.756000,1.000000,,8878436.333333,4268270.666667
eil101,sa-omp,omp,32,8,1000000,3,629,635,0.953895,231.733000,4.907025,226.835000,5.721632,71.520403,8878436.333333,4268270.666667
eil51,qlsa-multichain,none,32,1,1000000,3,426,426,0.000000,2371.958000,80.745598,2311.340000,1.000000,,9208882.666667,4295027.000000
eil51,qlsa-omp,omp,32,8,1000000,3,426,426,0.000000,428.979000,80.000027,377.467000,5.529310,69.116379,9208882.666667,4295027.000000
eil51,sa-multichain,none,32,1,1000000,3,426,426,0.000000,1233.527000,59.089311,1179.311000,1.000000,,9000725.333333,4329611.000000
eil51,sa-omp,omp,32,8,1000000,3,426,426,0.000000,224.443000,16.972886,213.773000,5.495948,68.699347,9000725.333333,4329611.000000
eil76,qlsa-multichain,none,32,1,1000000,3,538,542,0.743494,2439.045333,83.399636,2347.683000,1.000000,,9114466.666667,4286473.333333
eil76,qlsa-omp,omp,32,8,1000000,3,538,542,0.743494,490.690000,10.913014,482.998000,4.970644,62.133051,9114466.666667,4286473.333333
eil76,sa-multichain,none,32,1,1000000,3,538,539,0.185874,1377.377333,120.926561,1286.592000,1.000000,,8939210.666667,4300623.000000
eil76,sa-omp,omp,32,8,1000000,3,538,539,0.185874,245.818333,8.771221,237.425000,5.603233,70.040409,8939210.666667,4300623.000000
rat99,qlsa-multichain,none,32,1,1000000,3,1211,1225,1.156069,2400.499333,108.343037,2294.077000,1.000000,,6866797.333333,3297158.666667
rat99,qlsa-omp,omp,32,8,1000000,3,1211,1225,1.156069,570.090667,46.343215,516.585000,4.210733,52.634157,6866797.333333,3297158.666667
rat99,sa-multichain,none,32,1,1000000,3,1211,1215,0.330306,1310.632000,43.819066,1264.395000,1.000000,,6696481.333333,3274111.666667
rat99,sa-omp,omp,32,8,1000000,3,1211,1215,0.330306,226.910333,3.126642,223.300000,5.775991,72.199885,6696481.333333,3274111.666667
st70,qlsa-multichain,none,32,1,1000000,3,675,675,0.000000,2356.846000,109.680981,2262.847000,1.000000,,8052806.000000,3797555.666667
st70,qlsa-omp,omp,32,8,1000000,3,675,675,0.000000,560.221667,107.027185,474.069000,4.206988,52.587354,8052806.000000,3797555.666667
st70,sa-multichain,none,32,1,1000000,3,675,675,0.000000,1243.065667,35.248821,1210.950000,1.000000,,7827868.333333,3787999.000000
st70,sa-omp,omp,32,8,1000000,3,675,675,0.000000,247.471667,14.478825,231.282000,5.023063,62.788282,7827868.333333,3787999.000000
