category,instance,family,variant,baseline_ms,omp_ms,speedup,efficiency_percent,best_length,gap_percent,best_length_min,gap_min_percent,gap_mean_percent,elapsed_ms_mean,note
default_openmp_speedup,berlin52,sa,default-params,1043.053,202.402,5.153,64.417,7542,0.000,,,,202.402,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,berlin52,qlsa,default-params,2217.895,411.445,5.391,67.381,7542,0.000,,,,411.445,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,eil51,sa,default-params,1233.527,224.443,5.496,68.699,426,0.000,,,,224.443,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,eil51,qlsa,default-params,2371.958,428.979,5.529,69.116,426,0.000,,,,428.979,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,st70,sa,default-params,1243.066,247.472,5.023,62.788,675,0.000,,,,247.472,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,st70,qlsa,default-params,2356.846,560.222,4.207,52.587,675,0.000,,,,560.222,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,eil76,sa,default-params,1377.377,245.818,5.603,70.040,539,0.186,,,,245.818,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,eil76,qlsa,default-params,2439.045,490.690,4.971,62.133,542,0.743,,,,490.690,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,rat99,sa,default-params,1310.632,226.910,5.776,72.200,1215,0.330,,,,226.910,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,rat99,qlsa,default-params,2400.499,570.091,4.211,52.634,1225,1.156,,,,570.091,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,eil101,sa,default-params,1325.891,231.733,5.722,71.520,635,0.954,,,,231.733,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
default_openmp_speedup,eil101,qlsa,default-params,2490.072,445.503,5.589,69.867,637,1.272,,,,445.503,"Step 5B default parameters; baseline is serial multi-chain, OpenMP uses 32 chains and 8 threads."
tuned_validation_quality,eil101,qlsa,tuned,,,,,,,632,0.477,1.526,421.933,"Step 6B independent validation, repeat=10, seeds start at 101, config=eil101-qlsa-tuned."
tuned_validation_quality,eil101,sa,tuned,,,,,,,632,0.477,1.717,190.869,"Step 6B independent validation, repeat=10, seeds start at 101, config=eil101-sa-tuned."
tuned_validation_quality,eil76,qlsa,tuned,,,,,,,541,0.558,0.985,399.390,"Step 6B independent validation, repeat=10, seeds start at 101, config=eil76-qlsa-tuned."
tuned_validation_quality,eil76,sa,tuned,,,,,,,538,0.000,0.483,214.220,"Step 6B independent validation, repeat=10, seeds start at 101, config=eil76-sa-tuned."
tuned_validation_quality,rat99,qlsa,quality-first,,,,,,,1212,0.083,0.372,854.307,"Step 6B independent validation, repeat=10, seeds start at 101, config=rat99-qlsa-quality-first."
tuned_validation_quality,rat99,sa,tuned,,,,,,,1213,0.165,0.875,206.171,"Step 6B independent validation, repeat=10, seeds start at 101, config=rat99-sa-tuned."
targeted_high_budget_quality,eil101,qlsa,best-quality,,,,,,,629,0.000,0.254,3348.545,"Step 6C best-quality; it=2000000, chains=128, threads=8, t0=1000, tf=0.001, alpha=0.1, gamma=0.8, epsilon=0.05, policy=epsilon-greedy."
targeted_high_budget_quality,eil101,qlsa,best-time-quality-tradeoff,,,,,,,629,0.000,0.763,787.724,"Step 6C best-time-quality-tradeoff; it=1000000, chains=64, threads=8, t0=1000, tf=0.001, alpha=0.1, gamma=0.8, epsilon=0.05, policy=epsilon-greedy."
targeted_high_budget_quality,eil101,sa,best-quality,,,,,,,629,0.000,0.445,1867.987,"Step 6C best-quality; it=2000000, chains=128, threads=8, t0=100, tf=0.001."
targeted_high_budget_quality,rat99,qlsa,best-quality,,,,,,,1211,0.000,0.099,3424.631,"Step 6C best-quality; it=2000000, chains=128, threads=8, t0=1000, tf=0.001, alpha=0.2, gamma=0.95, epsilon=0.2, policy=epsilon-greedy."
targeted_high_budget_quality,rat99,sa,best-quality,,,,,,,1212,0.083,0.330,1804.426,"Step 6C best-quality; it=2000000, chains=128, threads=8, t0=3000, tf=0.001."
