algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves
sa-multichain,berlin52,52,1000000,1,nn,32,1,none,7542,7542,1000.578,2966224,1450571
sa-multichain,berlin52,52,1000000,2,nn,32,1,none,7542,7542,1019.215,2968518,1452420
sa-multichain,berlin52,52,1000000,3,nn,32,1,none,7542,7542,1056.083,2967567,1452750
qlsa-multichain,berlin52,52,1000000,1,nn,32,1,none,7542,7542,2197.748,3261459,1500856
qlsa-multichain,berlin52,52,1000000,2,nn,32,1,none,7542,7542,2123.468,3270623,1500784
qlsa-multichain,berlin52,52,1000000,3,nn,32,1,none,7542,7542,2218.587,3264777,1497886
sa-omp,berlin52,52,1000000,1,nn,32,8,omp,7542,7542,184.116,2966224,1450571
sa-omp,berlin52,52,1000000,2,nn,32,8,omp,7542,7542,176.564,2968518,1452420
sa-omp,berlin52,52,1000000,3,nn,32,8,omp,7542,7542,172.054,2967567,1452750
qlsa-omp,berlin52,52,1000000,1,nn,32,8,omp,7542,7542,401.407,3261459,1500856
qlsa-omp,berlin52,52,1000000,2,nn,32,8,omp,7542,7542,377.222,3270623,1500784
qlsa-omp,berlin52,52,1000000,3,nn,32,8,omp,7542,7542,321.035,3264777,1497886
sa-cuda,berlin52,52,1000000,1,nn,32,128,cuda,7542,7542,1060.840,2971191,1453628
sa-cuda,berlin52,52,1000000,2,nn,32,128,cuda,7542,7542,1031.695,2971894,1454470
sa-cuda,berlin52,52,1000000,3,nn,32,128,cuda,7542,7542,1005.600,2970448,1454234
qlsa-cuda,berlin52,52,1000000,1,nn,32,128,cuda,7542,7542,1883.503,3247779,1498506
qlsa-cuda,berlin52,52,1000000,2,nn,32,128,cuda,7542,7542,1947.989,3267416,1501457
qlsa-cuda,berlin52,52,1000000,3,nn,32,128,cuda,7542,7542,1969.565,3272227,1498780
