algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,cuda_mode,cuda_block_size,cuda_candidates_per_iter,cuda_reversal_mode,cuda_candidate_policy,log_file
sa-cuda-chain,berlin52,52,100000,1,nn,32,128,cuda,7542,7542,118.889,302260,148533,chain,128,128,serial,,results\logs\cuda_candidate\berlin52_sa_chain_serial_best_b128_c128_20260623_003343_789598.log
sa-cuda-candidate,berlin52,52,100000,1,nn,32,128,cuda,7542,7542,305.296,1285168,398975,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_best_b128_c128_20260623_003344_055208.log
sa-cuda-candidate-random,berlin52,52,100000,1,nn,32,128,cuda,7542,7542,200.206,301788,148384,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_random_b128_c128_20260623_003344_475474.log
sa-cuda-candidate-hybrid,berlin52,52,100000,1,nn,32,128,cuda,7542,7542,250.787,719599,287768,candidate,128,128,parallel,hybrid,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_hybrid_b128_c128_20260623_003344_790718.log
qlsa-cuda-chain,berlin52,52,100000,1,nn,32,128,cuda,7542,7542,206.108,334060,152570,chain,128,128,serial,,results\logs\cuda_candidate\berlin52_qlsa_chain_serial_best_b128_c128_20260623_003345_159392.log
qlsa-cuda-candidate,berlin52,52,100000,1,nn,32,128,cuda,7542,7681,443.833,3018443,96477,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_best_b128_c128_20260623_003345_512625.log
qlsa-cuda-candidate-random,berlin52,52,100000,1,nn,32,128,cuda,7542,7542,286.894,330591,152275,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_random_b128_c128_20260623_003346_078115.log
qlsa-cuda-candidate-hybrid,berlin52,52,100000,1,nn,32,128,cuda,7542,7542,345.632,783775,281458,candidate,128,128,parallel,hybrid,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_hybrid_b128_c128_20260623_003346_480010.log
sa-cuda-chain,a280,280,100000,1,nn,32,128,cuda,3157,3302,138.710,619731,311763,chain,128,128,serial,,results\logs\cuda_candidate\a280_sa_chain_serial_best_b128_c128_20260623_003346_951894.log
sa-cuda-candidate,a280,280,100000,1,nn,32,128,cuda,2591,2591,308.389,1164711,501074,candidate,128,128,parallel,best,results\logs\cuda_candidate\a280_sa_candidate_parallel_best_b128_c128_20260623_003347_212372.log
sa-cuda-candidate-random,a280,280,100000,1,nn,32,128,cuda,3157,3456,209.732,619838,312717,candidate,128,128,parallel,random,results\logs\cuda_candidate\a280_sa_candidate_parallel_random_b128_c128_20260623_003347_635665.log
sa-cuda-candidate-hybrid,a280,280,100000,1,nn,32,128,cuda,2606,2606,256.756,784934,457129,candidate,128,128,parallel,hybrid,results\logs\cuda_candidate\a280_sa_candidate_parallel_hybrid_b128_c128_20260623_003347_959063.log
qlsa-cuda-chain,a280,280,100000,1,nn,32,128,cuda,3059,3059,243.339,628703,314481,chain,128,128,serial,,results\logs\cuda_candidate\a280_qlsa_chain_serial_best_b128_c128_20260623_003348_336769.log
qlsa-cuda-candidate,a280,280,100000,1,nn,32,128,cuda,2587,2587,440.374,2308913,386624,candidate,128,128,parallel,best,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_best_b128_c128_20260623_003348_698420.log
qlsa-cuda-candidate-random,a280,280,100000,1,nn,32,128,cuda,3036,3036,320.060,627790,313987,candidate,128,128,parallel,random,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_random_b128_c128_20260623_003349_265291.log
qlsa-cuda-candidate-hybrid,a280,280,100000,1,nn,32,128,cuda,2600,2600,376.310,909426,457019,candidate,128,128,parallel,hybrid,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_hybrid_b128_c128_20260623_003349_706572.log
