algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,cuda_mode,cuda_block_size,cuda_candidates_per_iter,cuda_reversal_mode,cuda_candidate_policy,log_file
sa-cuda-chain,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,308.076,1790511,876852,chain,128,128,serial,,results\logs\cuda_candidate\berlin52_sa_chain_serial_best_b128_c128_20260622_220928_577523.log
sa-cuda-chain,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,287.040,1792419,878138,chain,128,128,serial,,results\logs\cuda_candidate\berlin52_sa_chain_serial_best_b128_c128_20260622_220928_577523.log
sa-cuda-chain,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,287.567,1790041,876436,chain,128,128,serial,,results\logs\cuda_candidate\berlin52_sa_chain_serial_best_b128_c128_20260622_220928_577523.log
sa-cuda-candidate,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,877.029,7676654,2371531,candidate,128,128,serial,best,results\logs\cuda_candidate\berlin52_sa_candidate_serial_best_b128_c128_20260622_220929_654493.log
sa-cuda-candidate,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,881.419,7687625,2377438,candidate,128,128,serial,best,results\logs\cuda_candidate\berlin52_sa_candidate_serial_best_b128_c128_20260622_220929_654493.log
sa-cuda-candidate,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,896.072,7682921,2377206,candidate,128,128,serial,best,results\logs\cuda_candidate\berlin52_sa_candidate_serial_best_b128_c128_20260622_220929_654493.log
sa-cuda-candidate-random,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,575.096,1788318,876175,candidate,128,128,serial,random,results\logs\cuda_candidate\berlin52_sa_candidate_serial_random_b128_c128_20260622_220932_428753.log
sa-cuda-candidate-random,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,581.305,1789795,876994,candidate,128,128,serial,random,results\logs\cuda_candidate\berlin52_sa_candidate_serial_random_b128_c128_20260622_220932_428753.log
sa-cuda-candidate-random,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,572.381,1789593,877129,candidate,128,128,serial,random,results\logs\cuda_candidate\berlin52_sa_candidate_serial_random_b128_c128_20260622_220932_428753.log
sa-cuda-candidate,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,849.024,7676654,2371531,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_best_b128_c128_20260622_220934_260975.log
sa-cuda-candidate,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,852.472,7687625,2377438,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_best_b128_c128_20260622_220934_260975.log
sa-cuda-candidate,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,850.015,7682921,2377206,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_best_b128_c128_20260622_220934_260975.log
sa-cuda-candidate-random,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,567.398,1788318,876175,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_random_b128_c128_20260622_220936_921012.log
sa-cuda-candidate-random,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,565.274,1789795,876994,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_random_b128_c128_20260622_220936_921012.log
sa-cuda-candidate-random,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,564.051,1789593,877129,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_random_b128_c128_20260622_220936_921012.log
qlsa-cuda-chain,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,562.963,1966026,904616,chain,128,128,serial,,results\logs\cuda_candidate\berlin52_qlsa_chain_serial_best_b128_c128_20260622_220938_741864.log
qlsa-cuda-chain,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,572.522,1965286,906547,chain,128,128,serial,,results\logs\cuda_candidate\berlin52_qlsa_chain_serial_best_b128_c128_20260622_220938_741864.log
qlsa-cuda-chain,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,570.701,1970461,904453,chain,128,128,serial,,results\logs\cuda_candidate\berlin52_qlsa_chain_serial_best_b128_c128_20260622_220938_741864.log
qlsa-cuda-candidate,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,1410.975,18108857,550817,candidate,128,128,serial,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_serial_best_b128_c128_20260622_220940_574378.log
qlsa-cuda-candidate,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,1398.957,18106798,556314,candidate,128,128,serial,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_serial_best_b128_c128_20260622_220940_574378.log
qlsa-cuda-candidate,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,1409.326,18109471,556748,candidate,128,128,serial,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_serial_best_b128_c128_20260622_220940_574378.log
qlsa-cuda-candidate-random,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,822.570,1965970,903484,candidate,128,128,serial,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_serial_random_b128_c128_20260622_220944_905443.log
qlsa-cuda-candidate-random,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,824.069,1970692,903540,candidate,128,128,serial,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_serial_random_b128_c128_20260622_220944_905443.log
qlsa-cuda-candidate-random,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,829.158,1966343,905399,candidate,128,128,serial,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_serial_random_b128_c128_20260622_220944_905443.log
qlsa-cuda-candidate,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,1252.257,18108857,550817,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_best_b128_c128_20260622_220947_507561.log
qlsa-cuda-candidate,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,1259.714,18106798,556314,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_best_b128_c128_20260622_220947_507561.log
qlsa-cuda-candidate,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,1230.087,18109471,556748,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_best_b128_c128_20260622_220947_507561.log
qlsa-cuda-candidate-random,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,806.708,1965970,903484,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_random_b128_c128_20260622_220951_370365.log
qlsa-cuda-candidate-random,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,807.236,1970692,903540,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_random_b128_c128_20260622_220951_370365.log
qlsa-cuda-candidate-random,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,806.605,1966343,905399,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_random_b128_c128_20260622_220951_370365.log
