algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,cuda_mode,cuda_block_size,cuda_candidates_per_iter,cuda_reversal_mode,log_file
sa-cuda-chain,berlin52,52,500000,1,nn,64,128,cuda,7542,7542,491.557,2974742,1456961,chain,128,128,serial,results\logs\cuda_candidate\berlin52_sa_chain_serial_b128_c128_20260622_045740_612149.log
sa-cuda-chain,berlin52,52,500000,2,nn,64,128,cuda,7542,7542,479.923,2978072,1457592,chain,128,128,serial,results\logs\cuda_candidate\berlin52_sa_chain_serial_b128_c128_20260622_045740_612149.log
sa-cuda-chain,berlin52,52,500000,3,nn,64,128,cuda,7542,7542,480.495,2974590,1455779,chain,128,128,serial,results\logs\cuda_candidate\berlin52_sa_chain_serial_b128_c128_20260622_045740_612149.log
sa-cuda-candidate,berlin52,52,500000,1,nn,64,128,cuda,7542,7542,1477.145,12858021,3987619,candidate,128,128,serial,results\logs\cuda_candidate\berlin52_sa_candidate_serial_b128_c128_20260622_045742_221329.log
sa-cuda-candidate,berlin52,52,500000,2,nn,64,128,cuda,7542,7542,1524.536,12835822,3977360,candidate,128,128,serial,results\logs\cuda_candidate\berlin52_sa_candidate_serial_b128_c128_20260622_045742_221329.log
sa-cuda-candidate,berlin52,52,500000,3,nn,64,128,cuda,7542,7542,1554.890,12849132,3984568,candidate,128,128,serial,results\logs\cuda_candidate\berlin52_sa_candidate_serial_b128_c128_20260622_045742_221329.log
sa-cuda-candidate,berlin52,52,500000,1,nn,64,128,cuda,7542,7542,1502.433,12858021,3987619,candidate,128,128,parallel,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_b128_c128_20260622_045746_887853.log
sa-cuda-candidate,berlin52,52,500000,2,nn,64,128,cuda,7542,7542,1457.735,12835822,3977360,candidate,128,128,parallel,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_b128_c128_20260622_045746_887853.log
sa-cuda-candidate,berlin52,52,500000,3,nn,64,128,cuda,7542,7542,1453.956,12849132,3984568,candidate,128,128,parallel,results\logs\cuda_candidate\berlin52_sa_candidate_parallel_b128_c128_20260622_045746_887853.log
qlsa-cuda-chain,berlin52,52,500000,1,nn,64,128,cuda,7542,7542,972.967,3262726,1502861,chain,128,128,serial,results\logs\cuda_candidate\berlin52_qlsa_chain_serial_b128_c128_20260622_045751_423920.log
