algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves
sa-cuda,square4,4,10000,1,nn,4,64,cuda,40,40,2.009,24766,2855
sa-cuda,square4,4,10000,2,nn,4,64,cuda,40,40,2.025,24768,2878
sa-cuda,square4,4,10000,3,nn,4,64,cuda,40,40,1.887,24715,2877
qlsa-cuda,square4,4,10000,1,nn,4,64,cuda,40,40,2.691,26466,3071
qlsa-cuda,square4,4,10000,2,nn,4,64,cuda,40,40,2.932,26337,3151
qlsa-cuda,square4,4,10000,3,nn,4,64,cuda,40,40,2.668,26364,3143
sa-cuda,square4,4,10000,1,nn,4,128,cuda,40,40,2.273,24766,2855
sa-cuda,square4,4,10000,2,nn,4,128,cuda,40,40,1.893,24768,2878
sa-cuda,square4,4,10000,3,nn,4,128,cuda,40,40,1.875,24715,2877
qlsa-cuda,square4,4,10000,1,nn,4,128,cuda,40,40,2.849,26466,3071
qlsa-cuda,square4,4,10000,2,nn,4,128,cuda,40,40,3.339,26337,3151
qlsa-cuda,square4,4,10000,3,nn,4,128,cuda,40,40,3.441,26364,3143
sa-cuda,square4,4,10000,1,nn,4,256,cuda,40,40,1.948,24766,2855
sa-cuda,square4,4,10000,2,nn,4,256,cuda,40,40,1.896,24768,2878
sa-cuda,square4,4,10000,3,nn,4,256,cuda,40,40,1.928,24715,2877
qlsa-cuda,square4,4,10000,1,nn,4,256,cuda,40,40,2.759,26466,3071
qlsa-cuda,square4,4,10000,2,nn,4,256,cuda,40,40,2.821,26337,3151
qlsa-cuda,square4,4,10000,3,nn,4,256,cuda,40,40,2.820,26364,3143
sa-cuda,square4,4,10000,1,nn,8,64,cuda,40,40,4.226,49442,5667
sa-cuda,square4,4,10000,2,nn,8,64,cuda,40,40,3.823,49328,5694
sa-cuda,square4,4,10000,3,nn,8,64,cuda,40,40,4.290,49342,5691
qlsa-cuda,square4,4,10000,1,nn,8,64,cuda,40,40,5.702,52808,6145
qlsa-cuda,square4,4,10000,2,nn,8,64,cuda,40,40,5.497,52644,6319
qlsa-cuda,square4,4,10000,3,nn,8,64,cuda,40,40,5.545,52612,6181
sa-cuda,square4,4,10000,1,nn,8,128,cuda,40,40,3.855,49442,5667
sa-cuda,square4,4,10000,2,nn,8,128,cuda,40,40,4.115,49328,5694
sa-cuda,square4,4,10000,3,nn,8,128,cuda,40,40,3.834,49342,5691
qlsa-cuda,square4,4,10000,1,nn,8,128,cuda,40,40,5.840,52808,6145
qlsa-cuda,square4,4,10000,2,nn,8,128,cuda,40,40,5.718,52644,6319
qlsa-cuda,square4,4,10000,3,nn,8,128,cuda,40,40,5.512,52612,6181
sa-cuda,square4,4,10000,1,nn,8,256,cuda,40,40,4.257,49442,5667
sa-cuda,square4,4,10000,2,nn,8,256,cuda,40,40,4.216,49328,5694
sa-cuda,square4,4,10000,3,nn,8,256,cuda,40,40,3.783,49342,5691
qlsa-cuda,square4,4,10000,1,nn,8,256,cuda,40,40,5.769,52808,6145
qlsa-cuda,square4,4,10000,2,nn,8,256,cuda,40,40,5.484,52644,6319
qlsa-cuda,square4,4,10000,3,nn,8,256,cuda,40,40,5.935,52612,6181
sa-cuda,square4,4,10000,1,nn,16,64,cuda,40,40,7.896,98508,11439
sa-cuda,square4,4,10000,2,nn,16,64,cuda,40,40,7.761,98308,11386
sa-cuda,square4,4,10000,3,nn,16,64,cuda,40,40,7.894,98489,11424
qlsa-cuda,square4,4,10000,1,nn,16,64,cuda,40,40,11.355,105699,12328
qlsa-cuda,square4,4,10000,2,nn,16,64,cuda,40,40,11.033,105281,12502
qlsa-cuda,square4,4,10000,3,nn,16,64,cuda,40,40,11.289,105632,12360
sa-cuda,square4,4,10000,1,nn,16,128,cuda,40,40,7.785,98508,11439
sa-cuda,square4,4,10000,2,nn,16,128,cuda,40,40,7.857,98308,11386
sa-cuda,square4,4,10000,3,nn,16,128,cuda,40,40,7.804,98489,11424
qlsa-cuda,square4,4,10000,1,nn,16,128,cuda,40,40,11.143,105699,12328
qlsa-cuda,square4,4,10000,2,nn,16,128,cuda,40,40,11.313,105281,12502
qlsa-cuda,square4,4,10000,3,nn,16,128,cuda,40,40,11.544,105632,12360
sa-cuda,square4,4,10000,1,nn,16,256,cuda,40,40,7.753,98508,11439
sa-cuda,square4,4,10000,2,nn,16,256,cuda,40,40,8.140,98308,11386
sa-cuda,square4,4,10000,3,nn,16,256,cuda,40,40,7.952,98489,11424
qlsa-cuda,square4,4,10000,1,nn,16,256,cuda,40,40,11.594,105699,12328
