algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
sa-omp,a280,280,1000000,1,nn,64,8,omp,2734,2734,384.943,11797274,5815569,L1,ok,results\logs\large_openmp\a280_sa_20260622_203125_168386.log,
sa-omp,a280,280,1000000,2,nn,64,8,omp,2705,2705,368.883,11802226,5820084,L1,ok,results\logs\large_openmp\a280_sa_20260622_203125_168386.log,
sa-omp,a280,280,1000000,3,nn,64,8,omp,2697,2697,374.971,11797284,5816214,L1,ok,results\logs\large_openmp\a280_sa_20260622_203125_168386.log,
qlsa-omp,a280,280,1000000,1,nn,64,8,omp,2696,2696,850.126,11991303,5857813,L1,ok,results\logs\large_openmp\a280_qlsa_20260622_203126_381301.log,
qlsa-omp,a280,280,1000000,2,nn,64,8,omp,2692,2692,743.777,11999983,5857026,L1,ok,results\logs\large_openmp\a280_qlsa_20260622_203126_381301.log,
qlsa-omp,a280,280,1000000,3,nn,64,8,omp,2692,2692,711.372,12003203,5859038,L1,ok,results\logs\large_openmp\a280_qlsa_20260622_203126_381301.log,
sa-omp,att532,532,1000000,1,nn,64,8,omp,29919,29919,415.956,4033251,2039066,L2,ok,results\logs\large_openmp\att532_sa_20260622_203128_697112.log,
sa-omp,att532,532,1000000,2,nn,64,8,omp,30051,30051,411.405,4034955,2038364,L2,ok,results\logs\large_openmp\att532_sa_20260622_203128_697112.log,
sa-omp,att532,532,1000000,3,nn,64,8,omp,30148,30148,406.084,4036457,2038650,L2,ok,results\logs\large_openmp\att532_sa_20260622_203128_697112.log,
qlsa-omp,att532,532,1000000,1,nn,64,8,omp,29844,29844,839.015,4216289,2097543,L2,ok,results\logs\large_openmp\att532_qlsa_20260622_203129_942493.log,
qlsa-omp,att532,532,1000000,2,nn,64,8,omp,29732,29732,997.796,4219512,2097754,L2,ok,results\logs\large_openmp\att532_qlsa_20260622_203129_942493.log,
qlsa-omp,att532,532,1000000,3,nn,64,8,omp,29826,29826,760.542,4226264,2097576,L2,ok,results\logs\large_openmp\att532_qlsa_20260622_203129_942493.log,
sa-omp,bayg29,29,1000000,1,nn,64,8,omp,1610,1610,370.659,10891012,5245148,custom,ok,results\logs\large_openmp\bayg29_sa_20260622_203132_624116.log,
sa-omp,bayg29,29,1000000,2,nn,64,8,omp,1610,1615,365.506,10889707,5245527,custom,ok,results\logs\large_openmp\bayg29_sa_20260622_203132_624116.log,
sa-omp,bayg29,29,1000000,3,nn,64,8,omp,1610,1631,364.344,10891399,5246960,custom,ok,results\logs\large_openmp\bayg29_sa_20260622_203132_624116.log,
qlsa-omp,bayg29,29,1000000,1,nn,64,8,omp,1610,1622,895.407,11463598,5220155,custom,ok,results\logs\large_openmp\bayg29_qlsa_20260622_203133_747987.log,
qlsa-omp,bayg29,29,1000000,2,nn,64,8,omp,1610,1615,695.323,11476936,5228880,custom,ok,results\logs\large_openmp\bayg29_qlsa_20260622_203133_747987.log,
qlsa-omp,bayg29,29,1000000,3,nn,64,8,omp,1610,1620,639.541,11470444,5226660,custom,ok,results\logs\large_openmp\bayg29_qlsa_20260622_203133_747987.log,
sa-omp,bays29,29,1000000,1,nn,64,8,omp,2020,2020,387.084,9968706,4567858,custom,ok,results\logs\large_openmp\bays29_sa_20260622_203136_057581.log,
sa-omp,bays29,29,1000000,2,nn,64,8,omp,2020,2033,374.573,9979565,4566944,custom,ok,results\logs\large_openmp\bays29_sa_20260622_203136_057581.log,
sa-omp,bays29,29,1000000,3,nn,64,8,omp,2020,2020,423.995,9961517,4563856,custom,ok,results\logs\large_openmp\bays29_sa_20260622_203136_057581.log,
qlsa-omp,bays29,29,1000000,1,nn,64,8,omp,2020,2028,900.855,10616465,4558640,custom,ok,results\logs\large_openmp\bays29_qlsa_20260622_203137_332214.log,
qlsa-omp,bays29,29,1000000,2,nn,64,8,omp,2020,2034,632.752,10629902,4561008,custom,ok,results\logs\large_openmp\bays29_qlsa_20260622_203137_332214.log,
qlsa-omp,bays29,29,1000000,3,nn,64,8,omp,2020,2031,620.948,10602649,4558754,custom,ok,results\logs\large_openmp\bays29_qlsa_20260622_203137_332214.log,
sa-omp,berlin52,52,1000000,1,nn,64,8,omp,7542,7542,359.762,5937417,2903831,custom,ok,results\logs\large_openmp\berlin52_sa_20260622_203139_567273.log,
sa-omp,berlin52,52,1000000,2,nn,64,8,omp,7542,7542,352.675,5942034,2906705,custom,ok,results\logs\large_openmp\berlin52_sa_20260622_203139_567273.log,
sa-omp,berlin52,52,1000000,3,nn,64,8,omp,7542,7542,361.853,5942380,2907670,custom,ok,results\logs\large_openmp\berlin52_sa_20260622_203139_567273.log,
qlsa-omp,berlin52,52,1000000,1,nn,64,8,omp,7542,7542,713.870,6520938,3001334,custom,ok,results\logs\large_openmp\berlin52_qlsa_20260622_203140_661440.log,
qlsa-omp,berlin52,52,1000000,2,nn,64,8,omp,7542,7542,620.368,6552081,3000615,custom,ok,results\logs\large_openmp\berlin52_qlsa_20260622_203140_661440.log,
qlsa-omp,berlin52,52,1000000,3,nn,64,8,omp,7542,7542,627.768,6527494,2996893,custom,ok,results\logs\large_openmp\berlin52_qlsa_20260622_203140_661440.log,
sa-omp,ch130,130,1000000,1,nn,64,8,omp,6182,6182,383.459,7223761,3582503,L1,ok,results\logs\large_openmp\ch130_sa_20260622_203142_632462.log,
sa-omp,ch130,130,1000000,2,nn,64,8,omp,6175,6175,366.948,7223032,3581793,L1,ok,results\logs\large_openmp\ch130_sa_20260622_203142_632462.log,
sa-omp,ch130,130,1000000,3,nn,64,8,omp,6185,6185,372.000,7222215,3582016,L1,ok,results\logs\large_openmp\ch130_sa_20260622_203142_632462.log,
qlsa-omp,ch130,130,1000000,1,nn,64,8,omp,6118,6118,802.817,7508947,3634002,L1,ok,results\logs\large_openmp\ch130_qlsa_20260622_203143_764326.log,
qlsa-omp,ch130,130,1000000,2,nn,64,8,omp,6165,6165,768.715,7516463,3633729,L1,ok,results\logs\large_openmp\ch130_qlsa_20260622_203143_764326.log,
qlsa-omp,ch130,130,1000000,3,nn,64,8,omp,6183,6183,701.167,7510040,3634518,L1,ok,results\logs\large_openmp\ch130_qlsa_20260622_203143_764326.log,
sa-omp,ch150,150,1000000,1,nn,64,8,omp,6646,6646,364.144,7141363,3549535,L1,ok,results\logs\large_openmp\ch150_sa_20260622_203146_118778.log,
sa-omp,ch150,150,1000000,2,nn,64,8,omp,6655,6655,363.092,7142305,3550324,L1,ok,results\logs\large_openmp\ch150_sa_20260622_203146_118778.log,
sa-omp,ch150,150,1000000,3,nn,64,8,omp,6611,6611,352.194,7148870,3555784,L1,ok,results\logs\large_openmp\ch150_sa_20260622_203146_118778.log,
qlsa-omp,ch150,150,1000000,1,nn,64,8,omp,6586,6586,804.904,7406252,3591549,L1,ok,results\logs\large_openmp\ch150_qlsa_20260622_203147_277492.log,
qlsa-omp,ch150,150,1000000,2,nn,64,8,omp,6620,6620,780.559,7397298,3592213,L1,ok,results\logs\large_openmp\ch150_qlsa_20260622_203147_277492.log,
