algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
sa-omp,ch130,130,1000000,1,nn,64,8,omp,6182,6182,408.289,7223761,3582503,L1,ok,results\logs\large_openmp\ch130_sa_20260622_202839_154643.log,
sa-omp,ch130,130,1000000,2,nn,64,8,omp,6175,6175,394.754,7223032,3581793,L1,ok,results\logs\large_openmp\ch130_sa_20260622_202839_154643.log,
sa-omp,ch130,130,1000000,3,nn,64,8,omp,6185,6185,384.164,7222215,3582016,L1,ok,results\logs\large_openmp\ch130_sa_20260622_202839_154643.log,
qlsa-omp,ch130,130,1000000,1,nn,64,8,omp,6118,6118,844.908,7508947,3634002,L1,ok,results\logs\large_openmp\ch130_qlsa_20260622_202840_362606.log,
qlsa-omp,ch130,130,1000000,2,nn,64,8,omp,6165,6165,674.612,7516463,3633729,L1,ok,results\logs\large_openmp\ch130_qlsa_20260622_202840_362606.log,
qlsa-omp,ch130,130,1000000,3,nn,64,8,omp,6183,6183,652.202,7510040,3634518,L1,ok,results\logs\large_openmp\ch130_qlsa_20260622_202840_362606.log,
sa-omp,ch150,150,1000000,1,nn,64,8,omp,6646,6646,370.705,7141363,3549535,L1,ok,results\logs\large_openmp\ch150_sa_20260622_202842_560246.log,
sa-omp,ch150,150,1000000,2,nn,64,8,omp,6655,6655,376.653,7142305,3550324,L1,ok,results\logs\large_openmp\ch150_sa_20260622_202842_560246.log,
sa-omp,ch150,150,1000000,3,nn,64,8,omp,6611,6611,365.648,7148870,3555784,L1,ok,results\logs\large_openmp\ch150_sa_20260622_202842_560246.log,
qlsa-omp,ch150,150,1000000,1,nn,64,8,omp,6586,6586,840.110,7406252,3591549,L1,ok,results\logs\large_openmp\ch150_qlsa_20260622_202843_702942.log,
qlsa-omp,ch150,150,1000000,2,nn,64,8,omp,6620,6620,684.687,7397298,3592213,L1,ok,results\logs\large_openmp\ch150_qlsa_20260622_202843_702942.log,
qlsa-omp,ch150,150,1000000,3,nn,64,8,omp,6640,6640,737.815,7412660,3593684,L1,ok,results\logs\large_openmp\ch150_qlsa_20260622_202843_702942.log,
sa-omp,kroA150,150,1000000,1,nn,64,8,omp,26949,26949,376.766,1922157,957366,L1,ok,results\logs\large_openmp\kroA150_sa_20260622_202845_985333.log,
sa-omp,kroA150,150,1000000,2,nn,64,8,omp,26879,26879,408.784,1922064,957057,L1,ok,results\logs\large_openmp\kroA150_sa_20260622_202845_985333.log,
