algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,np,threads_per_rank,status,log_file,communication_ms,error
sa-mpi-omp,ch130,130,300000,1,nn,64,2,mpi-omp,6214,6214,2721.402,2187318,1089074,L1,1,2,ok,results/logs/large_mpi_vm/ch130_sa_np1_t2_c64_20260622_050746_526230.log,0.023,
sa-mpi-omp,ch130,130,300000,2,nn,64,2,mpi-omp,6268,6268,2778.211,2188013,1088781,L1,1,2,ok,results/logs/large_mpi_vm/ch130_sa_np1_t2_c64_20260622_050746_526230.log,0.007,
sa-mpi-omp,ch130,130,300000,3,nn,64,2,mpi-omp,6296,6296,2844.817,2187833,1087436,L1,1,2,ok,results/logs/large_mpi_vm/ch130_sa_np1_t2_c64_20260622_050746_526230.log,0.008,
sa-mpi-omp,ch130,130,300000,1,nn,64,4,mpi-omp,6214,6214,2710.179,2187318,1089074,L1,1,4,ok,results/logs/large_mpi_vm/ch130_sa_np1_t4_c64_20260622_050755_451213.log,0.042,
sa-mpi-omp,ch130,130,300000,2,nn,64,4,mpi-omp,6268,6268,2735.013,2188013,1088781,L1,1,4,ok,results/logs/large_mpi_vm/ch130_sa_np1_t4_c64_20260622_050755_451213.log,0.007,
sa-mpi-omp,ch130,130,300000,3,nn,64,4,mpi-omp,6296,6296,2950.621,2187833,1087436,L1,1,4,ok,results/logs/large_mpi_vm/ch130_sa_np1_t4_c64_20260622_050755_451213.log,0.008,
sa-mpi-omp,ch130,130,300000,1,nn,64,2,mpi-omp,6214,6214,1399.432,2187318,1089074,L1,2,2,ok,results/logs/large_mpi_vm/ch130_sa_np2_t2_c64_20260622_050804_466048.log,17.809,
sa-mpi-omp,ch130,130,300000,2,nn,64,2,mpi-omp,6268,6268,1395.180,2188013,1088781,L1,2,2,ok,results/logs/large_mpi_vm/ch130_sa_np2_t2_c64_20260622_050804_466048.log,1.261,
sa-mpi-omp,ch130,130,300000,3,nn,64,2,mpi-omp,6296,6296,1424.728,2187833,1087436,L1,2,2,ok,results/logs/large_mpi_vm/ch130_sa_np2_t2_c64_20260622_050804_466048.log,0.955,
sa-mpi-omp,ch130,130,300000,1,nn,64,4,mpi-omp,6214,6214,1539.692,2187318,1089074,L1,2,4,ok,results/logs/large_mpi_vm/ch130_sa_np2_t4_c64_20260622_050809_330507.log,26.725,
sa-mpi-omp,ch130,130,300000,2,nn,64,4,mpi-omp,6268,6268,1493.612,2188013,1088781,L1,2,4,ok,results/logs/large_mpi_vm/ch130_sa_np2_t4_c64_20260622_050809_330507.log,1.597,
sa-mpi-omp,ch130,130,300000,3,nn,64,4,mpi-omp,6296,6296,1488.253,2187833,1087436,L1,2,4,ok,results/logs/large_mpi_vm/ch130_sa_np2_t4_c64_20260622_050809_330507.log,1.863,
qlsa-mpi-omp,ch130,130,300000,1,nn,64,2,mpi-omp,6226,6226,4386.805,2284078,1102354,L1,1,2,ok,results/logs/large_mpi_vm/ch130_qlsa_np1_t2_c64_20260622_050814_492427.log,0.038,
qlsa-mpi-omp,ch130,130,300000,2,nn,64,2,mpi-omp,6281,6281,4673.876,2283965,1101920,L1,1,2,ok,results/logs/large_mpi_vm/ch130_qlsa_np1_t2_c64_20260622_050814_492427.log,0.007,
qlsa-mpi-omp,ch130,130,300000,3,nn,64,2,mpi-omp,6248,6248,4565.752,2275767,1101968,L1,1,2,ok,results/logs/large_mpi_vm/ch130_qlsa_np1_t2_c64_20260622_050814_492427.log,0.008,
qlsa-mpi-omp,ch130,130,300000,1,nn,64,4,mpi-omp,6226,6226,4372.102,2284078,1102354,L1,1,4,ok,results/logs/large_mpi_vm/ch130_qlsa_np1_t4_c64_20260622_050828_959255.log,0.012,
qlsa-mpi-omp,ch130,130,300000,2,nn,64,4,mpi-omp,6281,6281,4350.545,2283965,1101920,L1,1,4,ok,results/logs/large_mpi_vm/ch130_qlsa_np1_t4_c64_20260622_050828_959255.log,0.008,
qlsa-mpi-omp,ch130,130,300000,3,nn,64,4,mpi-omp,6248,6248,4194.642,2275767,1101968,L1,1,4,ok,results/logs/large_mpi_vm/ch130_qlsa_np1_t4_c64_20260622_050828_959255.log,0.008,
qlsa-mpi-omp,ch130,130,300000,1,nn,64,2,mpi-omp,6226,6226,2082.172,2284078,1102354,L1,2,2,ok,results/logs/large_mpi_vm/ch130_qlsa_np2_t2_c64_20260622_050842_437815.log,12.598,
qlsa-mpi-omp,ch130,130,300000,2,nn,64,2,mpi-omp,6281,6281,2103.284,2283965,1101920,L1,2,2,ok,results/logs/large_mpi_vm/ch130_qlsa_np2_t2_c64_20260622_050842_437815.log,2.729,
qlsa-mpi-omp,ch130,130,300000,3,nn,64,2,mpi-omp,6248,6248,2157.684,2275767,1101968,L1,2,2,ok,results/logs/large_mpi_vm/ch130_qlsa_np2_t2_c64_20260622_050842_437815.log,0.870,
qlsa-mpi-omp,ch130,130,300000,1,nn,64,4,mpi-omp,6226,6226,2171.031,2284078,1102354,L1,2,4,ok,results/logs/large_mpi_vm/ch130_qlsa_np2_t4_c64_20260622_050849_440736.log,27.178,
qlsa-mpi-omp,ch130,130,300000,2,nn,64,4,mpi-omp,6281,6281,2064.152,2283965,1101920,L1,2,4,ok,results/logs/large_mpi_vm/ch130_qlsa_np2_t4_c64_20260622_050849_440736.log,4.898,
qlsa-mpi-omp,ch130,130,300000,3,nn,64,4,mpi-omp,6248,6248,2094.256,2275767,1101968,L1,2,4,ok,results/logs/large_mpi_vm/ch130_qlsa_np2_t4_c64_20260622_050849_440736.log,1.230,
sa-mpi-omp,a280,280,300000,1,nn,64,2,mpi-omp,2791,2791,2868.842,3589977,1781076,L1,1,2,ok,results/logs/large_mpi_vm/a280_sa_np1_t2_c64_20260622_050856_455144.log,0.009,
sa-mpi-omp,a280,280,300000,2,nn,64,2,mpi-omp,2812,2812,2890.738,3591020,1780473,L1,1,2,ok,results/logs/large_mpi_vm/a280_sa_np1_t2_c64_20260622_050856_455144.log,0.007,
sa-mpi-omp,a280,280,300000,3,nn,64,2,mpi-omp,2780,2780,2912.937,3591210,1780335,L1,1,2,ok,results/logs/large_mpi_vm/a280_sa_np1_t2_c64_20260622_050856_455144.log,0.007,
sa-mpi-omp,a280,280,300000,1,nn,64,4,mpi-omp,2791,2791,3043.443,3589977,1781076,L1,1,4,ok,results/logs/large_mpi_vm/a280_sa_np1_t4_c64_20260622_050905_723578.log,0.021,
sa-mpi-omp,a280,280,300000,2,nn,64,4,mpi-omp,2812,2812,2979.157,3591020,1780473,L1,1,4,ok,results/logs/large_mpi_vm/a280_sa_np1_t4_c64_20260622_050905_723578.log,0.007,
sa-mpi-omp,a280,280,300000,3,nn,64,4,mpi-omp,2780,2780,2934.154,3591210,1780335,L1,1,4,ok,results/logs/large_mpi_vm/a280_sa_np1_t4_c64_20260622_050905_723578.log,0.007,
sa-mpi-omp,a280,280,300000,1,nn,64,2,mpi-omp,2791,2791,1475.498,3589977,1781076,L1,2,2,ok,results/logs/large_mpi_vm/a280_sa_np2_t2_c64_20260622_050915_281143.log,16.701,
sa-mpi-omp,a280,280,300000,2,nn,64,2,mpi-omp,2812,2812,1445.643,3591020,1780473,L1,2,2,ok,results/logs/large_mpi_vm/a280_sa_np2_t2_c64_20260622_050915_281143.log,3.142,
sa-mpi-omp,a280,280,300000,3,nn,64,2,mpi-omp,2780,2780,1563.728,3591210,1780335,L1,2,2,ok,results/logs/large_mpi_vm/a280_sa_np2_t2_c64_20260622_050915_281143.log,1.242,
sa-mpi-omp,a280,280,300000,1,nn,64,4,mpi-omp,2791,2791,1463.390,3589977,1781076,L1,2,4,ok,results/logs/large_mpi_vm/a280_sa_np2_t4_c64_20260622_050920_426031.log,16.771,
sa-mpi-omp,a280,280,300000,2,nn,64,4,mpi-omp,2812,2812,1441.831,3591020,1780473,L1,2,4,ok,results/logs/large_mpi_vm/a280_sa_np2_t4_c64_20260622_050920_426031.log,1.408,
sa-mpi-omp,a280,280,300000,3,nn,64,4,mpi-omp,2780,2780,1462.802,3591210,1780335,L1,2,4,ok,results/logs/large_mpi_vm/a280_sa_np2_t4_c64_20260622_050920_426031.log,0.965,
qlsa-mpi-omp,a280,280,300000,1,nn,64,2,mpi-omp,2759,2759,4501.736,3646928,1788755,L1,1,2,ok,results/logs/large_mpi_vm/a280_qlsa_np1_t2_c64_20260622_050925_393956.log,0.010,
qlsa-mpi-omp,a280,280,300000,2,nn,64,2,mpi-omp,2802,2802,4108.370,3650238,1790944,L1,1,2,ok,results/logs/large_mpi_vm/a280_qlsa_np1_t2_c64_20260622_050925_393956.log,0.007,
qlsa-mpi-omp,a280,280,300000,3,nn,64,2,mpi-omp,2788,2788,4186.724,3645160,1789089,L1,1,2,ok,results/logs/large_mpi_vm/a280_qlsa_np1_t2_c64_20260622_050925_393956.log,0.009,
qlsa-mpi-omp,a280,280,300000,1,nn,64,4,mpi-omp,2759,2759,4404.920,3646928,1788755,L1,1,4,ok,results/logs/large_mpi_vm/a280_qlsa_np1_t4_c64_20260622_050938_751302.log,0.023,
qlsa-mpi-omp,a280,280,300000,2,nn,64,4,mpi-omp,2802,2802,4268.176,3650238,1790944,L1,1,4,ok,results/logs/large_mpi_vm/a280_qlsa_np1_t4_c64_20260622_050938_751302.log,0.007,
qlsa-mpi-omp,a280,280,300000,3,nn,64,4,mpi-omp,2788,2788,4476.029,3645160,1789089,L1,1,4,ok,results/logs/large_mpi_vm/a280_qlsa_np1_t4_c64_20260622_050938_751302.log,0.008,
qlsa-mpi-omp,a280,280,300000,1,nn,64,2,mpi-omp,2759,2759,2118.981,3646928,1788755,L1,2,2,ok,results/logs/large_mpi_vm/a280_qlsa_np2_t2_c64_20260622_050952_529506.log,12.851,
qlsa-mpi-omp,a280,280,300000,2,nn,64,2,mpi-omp,2802,2802,2067.797,3650238,1790944,L1,2,2,ok,results/logs/large_mpi_vm/a280_qlsa_np2_t2_c64_20260622_050952_529506.log,1.013,
qlsa-mpi-omp,a280,280,300000,3,nn,64,2,mpi-omp,2788,2788,2116.758,3645160,1789089,L1,2,2,ok,results/logs/large_mpi_vm/a280_qlsa_np2_t2_c64_20260622_050952_529506.log,1.164,
qlsa-mpi-omp,a280,280,300000,1,nn,64,4,mpi-omp,2759,2759,2099.211,3646928,1788755,L1,2,4,ok,results/logs/large_mpi_vm/a280_qlsa_np2_t4_c64_20260622_050959_449795.log,12.164,
qlsa-mpi-omp,a280,280,300000,2,nn,64,4,mpi-omp,2802,2802,2056.120,3650238,1790944,L1,2,4,ok,results/logs/large_mpi_vm/a280_qlsa_np2_t4_c64_20260622_050959_449795.log,1.563,
qlsa-mpi-omp,a280,280,300000,3,nn,64,4,mpi-omp,2788,2788,2122.156,3645160,1789089,L1,2,4,ok,results/logs/large_mpi_vm/a280_qlsa_np2_t4_c64_20260622_050959_449795.log,2.123,
