algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
sa-omp,ch130,130,1000000,1,nn,64,8,omp,6182,6182,335.650,7223761,3582503,L1,ok,results\logs\large_openmp\ch130_sa_20260621_182031_909983.log,
sa-omp,ch130,130,1000000,2,nn,64,8,omp,6175,6175,352.369,7223032,3581793,L1,ok,results\logs\large_openmp\ch130_sa_20260621_182031_909983.log,
sa-omp,ch130,130,1000000,3,nn,64,8,omp,6185,6185,336.431,7222215,3582016,L1,ok,results\logs\large_openmp\ch130_sa_20260621_182031_909983.log,
qlsa-omp,ch130,130,1000000,1,nn,64,8,omp,6118,6118,794.258,7508947,3634002,L1,ok,results\logs\large_openmp\ch130_qlsa_20260621_182032_943296.log,
qlsa-omp,ch130,130,1000000,2,nn,64,8,omp,6165,6165,623.047,7516463,3633729,L1,ok,results\logs\large_openmp\ch130_qlsa_20260621_182032_943296.log,
qlsa-omp,ch130,130,1000000,3,nn,64,8,omp,6183,6183,633.769,7510040,3634518,L1,ok,results\logs\large_openmp\ch130_qlsa_20260621_182032_943296.log,
sa-omp,ch150,150,1000000,1,nn,64,8,omp,6646,6646,355.696,7141363,3549535,L1,ok,results\logs\large_openmp\ch150_sa_20260621_182035_007176.log,
sa-omp,ch150,150,1000000,2,nn,64,8,omp,6655,6655,357.968,7142305,3550324,L1,ok,results\logs\large_openmp\ch150_sa_20260621_182035_007176.log,
sa-omp,ch150,150,1000000,3,nn,64,8,omp,6611,6611,351.043,7148870,3555784,L1,ok,results\logs\large_openmp\ch150_sa_20260621_182035_007176.log,
qlsa-omp,ch150,150,1000000,1,nn,64,8,omp,6586,6586,879.323,7406252,3591549,L1,ok,results\logs\large_openmp\ch150_qlsa_20260621_182036_084403.log,
qlsa-omp,ch150,150,1000000,2,nn,64,8,omp,6620,6620,759.577,7397298,3592213,L1,ok,results\logs\large_openmp\ch150_qlsa_20260621_182036_084403.log,
qlsa-omp,ch150,150,1000000,3,nn,64,8,omp,6640,6640,689.364,7412660,3593684,L1,ok,results\logs\large_openmp\ch150_qlsa_20260621_182036_084403.log,
sa-omp,kroA150,150,1000000,1,nn,64,8,omp,26949,26949,331.981,1922157,957366,L1,ok,results\logs\large_openmp\kroA150_sa_20260621_182038_421856.log,
sa-omp,kroA150,150,1000000,2,nn,64,8,omp,26879,26879,350.921,1922064,957057,L1,ok,results\logs\large_openmp\kroA150_sa_20260621_182038_421856.log,
sa-omp,kroA150,150,1000000,3,nn,64,8,omp,26985,26985,327.536,1918839,956457,L1,ok,results\logs\large_openmp\kroA150_sa_20260621_182038_421856.log,
qlsa-omp,kroA150,150,1000000,1,nn,64,8,omp,26918,26918,773.487,2220709,1055314,L1,ok,results\logs\large_openmp\kroA150_qlsa_20260621_182039_445349.log,
qlsa-omp,kroA150,150,1000000,2,nn,64,8,omp,26849,26849,651.031,2222676,1054637,L1,ok,results\logs\large_openmp\kroA150_qlsa_20260621_182039_445349.log,
qlsa-omp,kroA150,150,1000000,3,nn,64,8,omp,26779,26779,649.229,2220919,1054395,L1,ok,results\logs\large_openmp\kroA150_qlsa_20260621_182039_445349.log,
sa-omp,d198,198,1000000,1,nn,64,8,omp,15990,15990,339.170,4565289,2261906,L1,ok,results\logs\large_openmp\d198_sa_20260621_182041_531331.log,
sa-omp,d198,198,1000000,2,nn,64,8,omp,15976,15976,356.478,4562576,2260853,L1,ok,results\logs\large_openmp\d198_sa_20260621_182041_531331.log,
sa-omp,d198,198,1000000,3,nn,64,8,omp,15972,15972,335.090,4564328,2261123,L1,ok,results\logs\large_openmp\d198_sa_20260621_182041_531331.log,
qlsa-omp,d198,198,1000000,1,nn,64,8,omp,15897,15897,788.239,5093799,2451229,L1,ok,results\logs\large_openmp\d198_qlsa_20260621_182042_575509.log,
qlsa-omp,d198,198,1000000,2,nn,64,8,omp,16023,16023,726.909,5088086,2451406,L1,ok,results\logs\large_openmp\d198_qlsa_20260621_182042_575509.log,
qlsa-omp,d198,198,1000000,3,nn,64,8,omp,15942,15942,708.992,5115272,2450672,L1,ok,results\logs\large_openmp\d198_qlsa_20260621_182042_575509.log,
sa-omp,tsp225,225,1000000,1,nn,64,8,omp,4078,4078,365.086,10073668,4986387,L1,ok,results\logs\large_openmp\tsp225_sa_20260621_182044_808876.log,
sa-omp,tsp225,225,1000000,2,nn,64,8,omp,4074,4074,348.505,10070979,4985554,L1,ok,results\logs\large_openmp\tsp225_sa_20260621_182044_808876.log,
sa-omp,tsp225,225,1000000,3,nn,64,8,omp,4070,4070,355.027,10074134,4988130,L1,ok,results\logs\large_openmp\tsp225_sa_20260621_182044_808876.log,
qlsa-omp,tsp225,225,1000000,1,nn,64,8,omp,4063,4063,793.567,10286649,5024503,L1,ok,results\logs\large_openmp\tsp225_qlsa_20260621_182045_886508.log,
qlsa-omp,tsp225,225,1000000,2,nn,64,8,omp,4080,4080,641.008,10288612,5024460,L1,ok,results\logs\large_openmp\tsp225_qlsa_20260621_182045_886508.log,
qlsa-omp,tsp225,225,1000000,3,nn,64,8,omp,4070,4070,645.029,10276664,5025409,L1,ok,results\logs\large_openmp\tsp225_qlsa_20260621_182045_886508.log,
sa-omp,pr226,226,1000000,1,nn,64,8,omp,80751,80751,339.120,402250,167444,L1,ok,results\logs\large_openmp\pr226_sa_20260621_182047_978868.log,
sa-omp,pr226,226,1000000,2,nn,64,8,omp,80989,80989,341.592,404765,167381,L1,ok,results\logs\large_openmp\pr226_sa_20260621_182047_978868.log,
sa-omp,pr226,226,1000000,3,nn,64,8,omp,80745,80745,344.833,405081,168397,L1,ok,results\logs\large_openmp\pr226_sa_20260621_182047_978868.log,
qlsa-omp,pr226,226,1000000,1,nn,64,8,omp,81040,81040,785.004,760716,301638,L1,ok,results\logs\large_openmp\pr226_qlsa_20260621_182049_016618.log,
qlsa-omp,pr226,226,1000000,2,nn,64,8,omp,80878,80878,628.013,762176,302148,L1,ok,results\logs\large_openmp\pr226_qlsa_20260621_182049_016618.log,
qlsa-omp,pr226,226,1000000,3,nn,64,8,omp,80749,80749,605.490,756851,301641,L1,ok,results\logs\large_openmp\pr226_qlsa_20260621_182049_016618.log,
sa-omp,gil262,262,1000000,1,nn,64,8,omp,2470,2470,380.470,12656572,6237147,L1,ok,results\logs\large_openmp\gil262_sa_20260621_182051_048384.log,
sa-omp,gil262,262,1000000,2,nn,64,8,omp,2480,2480,370.432,12648073,6228805,L1,ok,results\logs\large_openmp\gil262_sa_20260621_182051_048384.log,
sa-omp,gil262,262,1000000,3,nn,64,8,omp,2485,2485,375.742,12651122,6231636,L1,ok,results\logs\large_openmp\gil262_sa_20260621_182051_048384.log,
