algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves
sa-omp,square4,4,10000,1,nn,8,1,omp,40,40,3.852,49442,5667
sa-omp,square4,4,10000,2,nn,8,1,omp,40,40,4.002,49328,5694
sa-omp,square4,4,10000,3,nn,8,1,omp,40,40,3.861,49342,5691
qlsa-omp,square4,4,10000,1,nn,8,1,omp,40,40,5.809,52808,6145
qlsa-omp,square4,4,10000,2,nn,8,1,omp,40,40,5.543,52644,6319
qlsa-omp,square4,4,10000,3,nn,8,1,omp,40,40,5.595,52612,6181
sa-omp,square4,4,10000,1,nn,8,2,omp,40,40,2.293,49442,5667
sa-omp,square4,4,10000,2,nn,8,2,omp,40,40,1.987,49328,5694
sa-omp,square4,4,10000,3,nn,8,2,omp,40,40,1.986,49342,5691
qlsa-omp,square4,4,10000,1,nn,8,2,omp,40,40,3.512,52808,6145
qlsa-omp,square4,4,10000,2,nn,8,2,omp,40,40,3.601,52644,6319
qlsa-omp,square4,4,10000,3,nn,8,2,omp,40,40,3.195,52612,6181
sa-omp,square4,4,10000,1,nn,8,4,omp,40,40,1.609,49442,5667
sa-omp,square4,4,10000,2,nn,8,4,omp,40,40,0.965,49328,5694
sa-omp,square4,4,10000,3,nn,8,4,omp,40,40,0.975,49342,5691
qlsa-omp,square4,4,10000,1,nn,8,4,omp,40,40,2.380,52808,6145
qlsa-omp,square4,4,10000,2,nn,8,4,omp,40,40,2.585,52644,6319
qlsa-omp,square4,4,10000,3,nn,8,4,omp,40,40,1.800,52612,6181
sa-omp,square4,4,10000,1,nn,8,8,omp,40,40,1.065,49442,5667
sa-omp,square4,4,10000,2,nn,8,8,omp,40,40,0.845,49328,5694
sa-omp,square4,4,10000,3,nn,8,8,omp,40,40,0.673,49342,5691
qlsa-omp,square4,4,10000,1,nn,8,8,omp,40,40,1.569,52808,6145
qlsa-omp,square4,4,10000,2,nn,8,8,omp,40,40,0.956,52644,6319
qlsa-omp,square4,4,10000,3,nn,8,8,omp,40,40,1.061,52612,6181
