algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves
sa-omp,berlin52,52,1000000,1,nn,32,1,omp,7542,7542,1063.146,2966224,1450571
sa-omp,berlin52,52,1000000,2,nn,32,1,omp,7542,7542,1014.821,2968518,1452420
sa-omp,berlin52,52,1000000,3,nn,32,1,omp,7542,7542,1046.643,2967567,1452750
qlsa-omp,berlin52,52,1000000,1,nn,32,1,omp,7542,7542,2034.895,3261459,1500856
qlsa-omp,berlin52,52,1000000,2,nn,32,1,omp,7542,7542,2070.063,3270623,1500784
qlsa-omp,berlin52,52,1000000,3,nn,32,1,omp,7542,7542,2112.831,3264777,1497886
sa-omp,berlin52,52,1000000,1,nn,32,2,omp,7542,7542,502.170,2966224,1450571
sa-omp,berlin52,52,1000000,2,nn,32,2,omp,7542,7542,507.910,2968518,1452420
sa-omp,berlin52,52,1000000,3,nn,32,2,omp,7542,7542,498.743,2967567,1452750
qlsa-omp,berlin52,52,1000000,1,nn,32,2,omp,7542,7542,1088.288,3261459,1500856
qlsa-omp,berlin52,52,1000000,2,nn,32,2,omp,7542,7542,1079.019,3270623,1500784
qlsa-omp,berlin52,52,1000000,3,nn,32,2,omp,7542,7542,1088.178,3264777,1497886
sa-omp,berlin52,52,1000000,1,nn,32,4,omp,7542,7542,310.453,2966224,1450571
sa-omp,berlin52,52,1000000,2,nn,32,4,omp,7542,7542,298.324,2968518,1452420
sa-omp,berlin52,52,1000000,3,nn,32,4,omp,7542,7542,292.000,2967567,1452750
qlsa-omp,berlin52,52,1000000,1,nn,32,4,omp,7542,7542,625.984,3261459,1500856
qlsa-omp,berlin52,52,1000000,2,nn,32,4,omp,7542,7542,706.183,3270623,1500784
qlsa-omp,berlin52,52,1000000,3,nn,32,4,omp,7542,7542,585.965,3264777,1497886
sa-omp,berlin52,52,1000000,1,nn,32,8,omp,7542,7542,177.347,2966224,1450571
sa-omp,berlin52,52,1000000,2,nn,32,8,omp,7542,7542,179.728,2968518,1452420
sa-omp,berlin52,52,1000000,3,nn,32,8,omp,7542,7542,172.558,2967567,1452750
qlsa-omp,berlin52,52,1000000,1,nn,32,8,omp,7542,7542,397.093,3261459,1500856
qlsa-omp,berlin52,52,1000000,2,nn,32,8,omp,7542,7542,386.822,3270623,1500784
qlsa-omp,berlin52,52,1000000,3,nn,32,8,omp,7542,7542,335.191,3264777,1497886
sa-omp,berlin52,52,1000000,1,nn,32,12,omp,7542,7542,162.884,2966224,1450571
sa-omp,berlin52,52,1000000,2,nn,32,12,omp,7542,7542,151.824,2968518,1452420
sa-omp,berlin52,52,1000000,3,nn,32,12,omp,7542,7542,152.401,2967567,1452750
qlsa-omp,berlin52,52,1000000,1,nn,32,12,omp,7542,7542,345.246,3261459,1500856
qlsa-omp,berlin52,52,1000000,2,nn,32,12,omp,7542,7542,264.467,3270623,1500784
qlsa-omp,berlin52,52,1000000,3,nn,32,12,omp,7542,7542,259.979,3264777,1497886
sa-omp,berlin52,52,1000000,1,nn,32,16,omp,7542,7542,131.097,2966224,1450571
sa-omp,berlin52,52,1000000,2,nn,32,16,omp,7542,7542,130.104,2968518,1452420
sa-omp,berlin52,52,1000000,3,nn,32,16,omp,7542,7542,129.606,2967567,1452750
qlsa-omp,berlin52,52,1000000,1,nn,32,16,omp,7542,7542,287.696,3261459,1500856
qlsa-omp,berlin52,52,1000000,2,nn,32,16,omp,7542,7542,260.025,3270623,1500784
qlsa-omp,berlin52,52,1000000,3,nn,32,16,omp,7542,7542,234.239,3264777,1497886
