algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,qlsa_variant,policy,diversity_threshold,log_file
qlsa-omp,berlin52,52,300000,401,nn,32,8,omp,7542,7542,157.710,983825,451754,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_current_epsilon-greedy_na_20260623_005737_912495.log
qlsa-omp,berlin52,52,300000,402,nn,32,8,omp,7542,7542,161.021,983709,451907,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_current_epsilon-greedy_na_20260623_005737_912495.log
qlsa-omp,berlin52,52,300000,403,nn,32,8,omp,7542,7542,133.518,978395,453828,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_current_epsilon-greedy_na_20260623_005737_912495.log
qlsa-omp,berlin52,52,300000,401,nn,32,8,omp,7542,7542,268.799,935109,453953,current,softmax,,results\logs\qlsa_variant_alignment\berlin52_current_softmax_na_20260623_005738_418982.log
qlsa-omp,berlin52,52,300000,402,nn,32,8,omp,7542,7542,267.556,936762,453790,current,softmax,,results\logs\qlsa_variant_alignment\berlin52_current_softmax_na_20260623_005738_418982.log
qlsa-omp,berlin52,52,300000,403,nn,32,8,omp,7542,7542,273.987,946090,458482,current,softmax,,results\logs\qlsa_variant_alignment\berlin52_current_softmax_na_20260623_005738_418982.log
qlsa-paper-omp,berlin52,52,300000,401,nn,32,8,omp,7542,7542,600.076,5525529,157681,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_paper_epsilon-greedy_na_20260623_005739_241592.log
qlsa-paper-omp,berlin52,52,300000,402,nn,32,8,omp,7714,7714,609.254,5522400,156887,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_paper_epsilon-greedy_na_20260623_005739_241592.log
qlsa-paper-omp,berlin52,52,300000,403,nn,32,8,omp,7542,7542,579.415,5527446,155660,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_paper_epsilon-greedy_na_20260623_005739_241592.log
qlsa-paper-omp,berlin52,52,300000,401,nn,32,8,omp,7715,7715,686.252,5583244,173708,paper,softmax,,results\logs\qlsa_variant_alignment\berlin52_paper_softmax_na_20260623_005741_042682.log
qlsa-paper-omp,berlin52,52,300000,402,nn,32,8,omp,7741,7741,722.301,5593959,173270,paper,softmax,,results\logs\qlsa_variant_alignment\berlin52_paper_softmax_na_20260623_005741_042682.log
qlsa-paper-omp,berlin52,52,300000,403,nn,32,8,omp,7542,7542,710.131,5546548,179739,paper,softmax,,results\logs\qlsa_variant_alignment\berlin52_paper_softmax_na_20260623_005741_042682.log
qlsa-paper-sb-omp,berlin52,52,300000,401,nn,32,8,omp,7745,7745,596.684,5751013,144666,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.30_20260623_005743_176440.log
