algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves
sa-multichain,berlin52,52,1000000,1,nn,32,1,none,7542,7542,1059.036,2966224,1450571
sa-multichain,berlin52,52,1000000,2,nn,32,1,none,7542,7542,1053.091,2968518,1452420
sa-multichain,berlin52,52,1000000,3,nn,32,1,none,7542,7542,1089.551,2967567,1452750
sa-omp,berlin52,52,1000000,1,nn,32,8,omp,7542,7542,194.389,2966224,1450571
sa-omp,berlin52,52,1000000,2,nn,32,8,omp,7542,7542,193.855,2968518,1452420
sa-omp,berlin52,52,1000000,3,nn,32,8,omp,7542,7542,200.048,2967567,1452750
sa-cuda,berlin52,52,1000000,1,nn,32,128,cuda,7542,7542,2311.363,2971191,1453628
sa-cuda,berlin52,52,1000000,2,nn,32,128,cuda,7542,7542,6591.985,2971894,1454470
sa-cuda,berlin52,52,1000000,3,nn,32,128,cuda,7542,7542,1718.682,2970448,1454234
qlsa-multichain,berlin52,52,1000000,1,nn,32,1,none,7542,7542,2175.692,3261459,1500856
qlsa-multichain,berlin52,52,1000000,2,nn,32,1,none,7542,7542,2128.141,3270623,1500784
qlsa-multichain,berlin52,52,1000000,3,nn,32,1,none,7542,7542,2310.863,3264777,1497886
qlsa-omp,berlin52,52,1000000,1,nn,32,8,omp,7542,7542,495.110,3261459,1500856
qlsa-omp,berlin52,52,1000000,2,nn,32,8,omp,7542,7542,490.384,3270623,1500784
qlsa-omp,berlin52,52,1000000,3,nn,32,8,omp,7542,7542,410.493,3264777,1497886
qlsa-cuda,berlin52,52,1000000,1,nn,32,128,cuda,7542,7542,4591.645,3247779,1498506
qlsa-cuda,berlin52,52,1000000,2,nn,32,128,cuda,7542,7542,4586.764,3267416,1501457
qlsa-cuda,berlin52,52,1000000,3,nn,32,128,cuda,7542,7542,15204.649,3272227,1498780
