algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves
sa-multichain,berlin52,52,1000000,1,nn,32,1,none,7542,7542,1046.900,2966224,1450571
sa-multichain,berlin52,52,1000000,2,nn,32,1,none,7542,7542,1036.565,2968518,1452420
sa-multichain,berlin52,52,1000000,3,nn,32,1,none,7542,7542,1045.693,2967567,1452750
sa-omp,berlin52,52,1000000,1,nn,32,8,omp,7542,7542,205.518,2966224,1450571
sa-omp,berlin52,52,1000000,2,nn,32,8,omp,7542,7542,197.743,2968518,1452420
sa-omp,berlin52,52,1000000,3,nn,32,8,omp,7542,7542,203.946,2967567,1452750
qlsa-multichain,berlin52,52,1000000,1,nn,32,1,none,7542,7542,2164.874,3261459,1500856
qlsa-multichain,berlin52,52,1000000,2,nn,32,1,none,7542,7542,2227.523,3270623,1500784
qlsa-multichain,berlin52,52,1000000,3,nn,32,1,none,7542,7542,2261.287,3264777,1497886
qlsa-omp,berlin52,52,1000000,1,nn,32,8,omp,7542,7542,467.026,3261459,1500856
qlsa-omp,berlin52,52,1000000,2,nn,32,8,omp,7542,7542,386.911,3270623,1500784
qlsa-omp,berlin52,52,1000000,3,nn,32,8,omp,7542,7542,380.397,3264777,1497886
sa-multichain,eil51,51,1000000,1,nn,32,1,none,427,427,1224.760,8998248,4328180
sa-multichain,eil51,51,1000000,2,nn,32,1,none,427,427,1179.311,9001265,4329850
sa-multichain,eil51,51,1000000,3,nn,32,1,none,426,426,1296.510,9002663,4330803
sa-omp,eil51,51,1000000,1,nn,32,8,omp,427,427,244.015,8998248,4328180
sa-omp,eil51,51,1000000,2,nn,32,8,omp,427,427,215.541,9001265,4329850
sa-omp,eil51,51,1000000,3,nn,32,8,omp,426,426,213.773,9002663,4330803
qlsa-multichain,eil51,51,1000000,1,nn,32,1,none,427,429,2463.618,9210816,4293276
qlsa-multichain,eil51,51,1000000,2,nn,32,1,none,427,427,2340.916,9208051,4296708
qlsa-multichain,eil51,51,1000000,3,nn,32,1,none,426,427,2311.340,9207781,4295097
qlsa-omp,eil51,51,1000000,1,nn,32,8,omp,427,429,521.142,9210816,4293276
qlsa-omp,eil51,51,1000000,2,nn,32,8,omp,427,427,377.467,9208051,4296708
qlsa-omp,eil51,51,1000000,3,nn,32,8,omp,426,427,388.328,9207781,4295097
sa-multichain,st70,70,1000000,1,nn,32,1,none,675,675,1237.469,7825497,3787834
sa-multichain,st70,70,1000000,2,nn,32,1,none,675,675,1210.950,7828971,3787992
sa-multichain,st70,70,1000000,3,nn,32,1,none,677,678,1280.778,7829137,3788171
sa-omp,st70,70,1000000,1,nn,32,8,omp,675,675,259.180,7825497,3787834
sa-omp,st70,70,1000000,2,nn,32,8,omp,675,675,231.282,7828971,3787992
sa-omp,st70,70,1000000,3,nn,32,8,omp,677,678,251.953,7829137,3788171
qlsa-multichain,st70,70,1000000,1,nn,32,1,none,675,675,2477.351,8047320,3796122
qlsa-multichain,st70,70,1000000,2,nn,32,1,none,679,679,2262.847,8054144,3799396
qlsa-multichain,st70,70,1000000,3,nn,32,1,none,675,675,2330.340,8056954,3797149
qlsa-omp,st70,70,1000000,1,nn,32,8,omp,675,675,526.564,8047320,3796122
qlsa-omp,st70,70,1000000,2,nn,32,8,omp,679,679,680.032,8054144,3799396
qlsa-omp,st70,70,1000000,3,nn,32,8,omp,675,675,474.069,8056954,3797149
sa-multichain,eil76,76,1000000,1,nn,32,1,none,539,539,1514.649,8941952,4300980
sa-multichain,eil76,76,1000000,2,nn,32,1,none,541,541,1330.891,8940309,4302169
sa-multichain,eil76,76,1000000,3,nn,32,1,none,539,539,1286.592,8935371,4298720
sa-omp,eil76,76,1000000,1,nn,32,8,omp,539,539,254.924,8941952,4300980
sa-omp,eil76,76,1000000,2,nn,32,8,omp,541,541,245.106,8940309,4302169
sa-omp,eil76,76,1000000,3,nn,32,8,omp,539,539,237.425,8935371,4298720
qlsa-multichain,eil76,76,1000000,1,nn,32,1,none,547,547,2511.093,9115606,4285705
qlsa-multichain,eil76,76,1000000,2,nn,32,1,none,542,543,2458.360,9110687,4285656
qlsa-multichain,eil76,76,1000000,3,nn,32,1,none,543,543,2347.683,9117107,4288059
qlsa-omp,eil76,76,1000000,1,nn,32,8,omp,547,547,503.180,9115606,4285705
qlsa-omp,eil76,76,1000000,2,nn,32,8,omp,542,543,482.998,9110687,4285656
qlsa-omp,eil76,76,1000000,3,nn,32,8,omp,543,543,485.892,9117107,4288059
sa-multichain,rat99,99,1000000,1,nn,32,1,none,1236,1236,1351.547,6696769,3273132
sa-multichain,rat99,99,1000000,2,nn,32,1,none,1224,1224,1315.954,6696626,3275700
sa-multichain,rat99,99,1000000,3,nn,32,1,none,1215,1215,1264.395,6696049,3273503
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1236,1236,228.719,6696769,3273132
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1224,1224,223.300,6696626,3275700
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1215,1215,228.712,6696049,3273503
qlsa-multichain,rat99,99,1000000,1,nn,32,1,none,1227,1227,2396.755,6871739,3297337
qlsa-multichain,rat99,99,1000000,2,nn,32,1,none,1225,1228,2294.077,6864443,3296224
qlsa-multichain,rat99,99,1000000,3,nn,32,1,none,1227,1227,2510.666,6864210,3297915
qlsa-omp,rat99,99,1000000,1,nn,32,8,omp,1227,1227,597.586,6871739,3297337
qlsa-omp,rat99,99,1000000,2,nn,32,8,omp,1225,1228,596.101,6864443,3296224
qlsa-omp,rat99,99,1000000,3,nn,32,8,omp,1227,1227,516.585,6864210,3297915
sa-multichain,eil101,101,1000000,1,nn,32,1,none,636,636,1350.059,8876860,4266196
sa-multichain,eil101,101,1000000,2,nn,32,1,none,635,635,1333.858,8880732,4270027
sa-multichain,eil101,101,1000000,3,nn,32,1,none,640,640,1293.756,8877717,4268589
sa-omp,eil101,101,1000000,1,nn,32,8,omp,636,636,236.649,8876860,4266196
sa-omp,eil101,101,1000000,2,nn,32,8,omp,635,635,226.835,8880732,4270027
sa-omp,eil101,101,1000000,3,nn,32,8,omp,640,640,231.715,8877717,4268589
qlsa-multichain,eil101,101,1000000,1,nn,32,1,none,638,638,2588.960,9046957,4270857
qlsa-multichain,eil101,101,1000000,2,nn,32,1,none,641,641,2418.789,9039680,4268243
qlsa-multichain,eil101,101,1000000,3,nn,32,1,none,637,637,2462.467,9038767,4268720
qlsa-omp,eil101,101,1000000,1,nn,32,8,omp,638,638,464.133,9046957,4270857
qlsa-omp,eil101,101,1000000,2,nn,32,8,omp,641,641,431.248,9039680,4268243
qlsa-omp,eil101,101,1000000,3,nn,32,8,omp,637,637,441.129,9038767,4268720
