algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,config_name,family,variant,t0,tf,alpha,gamma,epsilon,policy,fallback
sa-omp,eil101,101,1000000,201,nn,64,8,omp,632,632,376.317,9024422,4298192,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,202,nn,64,8,omp,637,637,377.742,9022390,4298895,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,203,nn,64,8,omp,634,635,400.175,9022907,4297839,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,204,nn,64,8,omp,640,640,417.195,9025376,4297515,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,205,nn,64,8,omp,637,637,416.657,9021454,4297108,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,201,nn,128,8,omp,632,632,860.895,18051631,8599776,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,202,nn,128,8,omp,637,637,874.053,18046251,8596945,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,203,nn,128,8,omp,634,635,873.206,18050757,8596570,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,204,nn,128,8,omp,638,638,834.381,18050270,8598844,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,205,nn,128,8,omp,631,632,830.429,18042322,8594095,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,201,nn,64,8,omp,629,630,801.390,18022668,8582400,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,202,nn,64,8,omp,635,635,769.294,18022846,8584187,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,203,nn,64,8,omp,635,635,806.638,18030303,8584784,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,204,nn,64,8,omp,631,631,790.667,18024632,8582311,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,205,nn,64,8,omp,633,633,808.803,18023520,8582261,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,201,nn,128,8,omp,629,630,1720.538,36045601,17164623,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,202,nn,128,8,omp,635,635,1767.480,36053254,17174228,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,203,nn,128,8,omp,633,633,1726.377,36049786,17166542,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,204,nn,128,8,omp,630,631,1619.762,36051356,17167728,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,205,nn,128,8,omp,632,632,2505.779,36055235,17166656,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
qlsa-omp,eil101,101,1000000,201,nn,64,8,omp,629,629,811.458,18047382,8544046,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,202,nn,64,8,omp,638,638,793.240,18048219,8544675,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,203,nn,64,8,omp,630,631,767.031,18051209,8544550,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,204,nn,64,8,omp,636,636,791.831,18060238,8544332,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,205,nn,64,8,omp,636,636,775.058,18041340,8543018,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,201,nn,128,8,omp,629,629,2221.351,36102616,17088994,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,202,nn,128,8,omp,638,638,2159.325,36107260,17087830,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,203,nn,128,8,omp,630,631,1694.744,36093891,17086651,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,204,nn,128,8,omp,630,630,1696.298,36119722,17089260,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,205,nn,128,8,omp,636,636,1482.010,36094040,17089006,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,201,nn,64,8,omp,630,630,2085.479,36096582,17081061,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,202,nn,64,8,omp,630,630,2161.065,36086069,17083645,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,203,nn,64,8,omp,634,635,1674.287,36088700,17078520,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,204,nn,64,8,omp,630,630,1666.978,36103110,17078698,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,205,nn,64,8,omp,636,636,1699.725,36088620,17077283,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,201,nn,128,8,omp,630,630,4107.961,72172777,34155287,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,202,nn,128,8,omp,629,629,3210.584,72168426,34163132,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,203,nn,128,8,omp,630,631,3066.204,72153828,34155994,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,204,nn,128,8,omp,630,630,2898.115,72189945,34156911,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,205,nn,128,8,omp,634,634,3459.863,72190666,34161825,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,201,nn,64,8,omp,1213,1213,2220.351,27518881,13139076,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,202,nn,64,8,omp,1213,1213,2281.897,27518381,13141007,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,203,nn,64,8,omp,1213,1213,1731.141,27526271,13138238,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,204,nn,64,8,omp,1213,1213,1626.814,27510532,13135520,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,205,nn,64,8,omp,1213,1213,1630.391,27533133,13141299,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,201,nn,128,8,omp,1213,1213,3717.936,55041714,26273465,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,202,nn,128,8,omp,1211,1212,3827.236,55055051,26280841,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,203,nn,128,8,omp,1212,1212,2977.819,55039911,26275365,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,204,nn,128,8,omp,1213,1213,3491.612,55040578,26275700,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,205,nn,128,8,omp,1212,1212,3108.553,55039639,26277182,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,201,nn,64,8,omp,1216,1216,3254.358,41255557,19701405,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,202,nn,64,8,omp,1212,1212,2686.257,41288933,19698832,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,203,nn,64,8,omp,1213,1214,2536.347,41272839,19705077,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,204,nn,64,8,omp,1215,1215,2607.612,41267799,19701284,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,205,nn,64,8,omp,1212,1212,2254.858,41291441,19706496,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,201,nn,128,8,omp,1211,1211,6453.038,82547060,39404571,rat99-qlsa-quality-first-high-budget-it3000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,202,nn,128,8,omp,1212,1212,6367.457,82559179,39396552,rat99-qlsa-quality-first-high-budget-it3000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
