algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,t0,tf,alpha,gamma,epsilon,policy,tuning_stage,fallback
sa-omp,eil76,76,1000000,1,nn,32,8,omp,539,540,173.178,4570348,2175668,100,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,543,543,167.179,4568762,2175730,100,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,543,546,176.645,4568888,2176042,100,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,543,543,173.276,3819060,1814171,100,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,543,543,176.798,3817435,1814625,100,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,541,541,183.190,3819728,1815248,100,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,539,539,178.047,3283700,1555912,100,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,541,541,180.113,3284033,1555927,100,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,546,546,172.879,3281908,1557375,100,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,542,542,184.472,6792714,3257662,300,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,543,545,182.585,6791512,3257456,300,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,538,538,183.053,6785599,3255611,300,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,543,546,179.652,5753907,2755146,300,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,544,545,181.571,5754236,2755456,300,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,539,539,175.061,5753478,2755426,300,0.0001,,,,,sa-grid,0
