instance,algorithm_family,cuda_mode,chains,cuda_block_size,cuda_candidates_per_iter,cuda_candidate_policy,iterations,runs,bks,best_length_min,gap_min,elapsed_ms_mean,elapsed_ms_std,speedup_vs_cuda_chain,speedup_vs_openmp_if_available,accepted_moves_mean,improved_moves_mean
a280,qlsa,chain,32,128,128,,100000,1,2579,3059,18.6119,243.3390,0.0000,1.0000,,628703.0000,314481.0000
a280,qlsa,candidate,32,128,128,best,100000,1,2579,2587,0.3102,440.3740,0.0000,0.5526,,2308913.0000,386624.0000
a280,qlsa,candidate,32,128,128,random,100000,1,2579,3036,17.7200,320.0600,0.0000,0.7603,,627790.0000,313987.0000
a280,qlsa,candidate,32,128,128,hybrid,100000,1,2579,2600,0.8143,376.3100,0.0000,0.6466,,909426.0000,457019.0000
a280,sa,chain,32,128,128,,100000,1,2579,3157,22.4118,138.7100,0.0000,1.0000,,619731.0000,311763.0000
a280,sa,candidate,32,128,128,best,100000,1,2579,2591,0.4653,308.3890,0.0000,0.4498,,1164711.0000,501074.0000
a280,sa,candidate,32,128,128,random,100000,1,2579,3157,22.4118,209.7320,0.0000,0.6614,,619838.0000,312717.0000
a280,sa,candidate,32,128,128,hybrid,100000,1,2579,2606,1.0469,256.7560,0.0000,0.5402,,784934.0000,457129.0000
berlin52,qlsa,chain,32,128,128,,100000,1,7542,7542,0.0000,206.1080,0.0000,1.0000,1.9963,334060.0000,152570.0000
berlin52,qlsa,candidate,32,128,128,best,100000,1,7542,7542,0.0000,443.8330,0.0000,0.4644,0.9270,3018443.0000,96477.0000
berlin52,qlsa,candidate,32,128,128,random,100000,1,7542,7542,0.0000,286.8940,0.0000,0.7184,1.4341,330591.0000,152275.0000
berlin52,qlsa,candidate,32,128,128,hybrid,100000,1,7542,7542,0.0000,345.6320,0.0000,0.5963,1.1904,783775.0000,281458.0000
berlin52,sa,chain,32,128,128,,100000,1,7542,7542,0.0000,118.8890,0.0000,1.0000,1.7024,302260.0000,148533.0000
berlin52,sa,candidate,32,128,128,best,100000,1,7542,7542,0.0000,305.2960,0.0000,0.3894,0.6630,1285168.0000,398975.0000
berlin52,sa,candidate,32,128,128,random,100000,1,7542,7542,0.0000,200.2060,0.0000,0.5938,1.0110,301788.0000,148384.0000
berlin52,sa,candidate,32,128,128,hybrid,100000,1,7542,7542,0.0000,250.7870,0.0000,0.4741,0.8071,719599.0000,287768.0000
