instance,algorithm_family,cuda_mode,chains,cuda_block_size,cuda_candidates_per_iter,cuda_candidate_policy,iterations,runs,bks,best_length_min,gap_min,elapsed_ms_mean,elapsed_ms_std,speedup_vs_cuda_chain,speedup_vs_openmp_if_available,accepted_moves_mean,improved_moves_mean
a280,qlsa,chain,64,128,128,,300000,3,2579,2781,7.8325,658.2997,4.5664,1.0000,,3649384.6667,1789976.0000
a280,qlsa,candidate,64,128,128,best,300000,6,2579,2583,0.1551,1495.5983,293.2570,0.4402,,13916722.6667,2297513.6667
a280,qlsa,candidate,64,128,128,random,300000,6,2579,2772,7.4835,929.1390,45.0768,0.7085,,3645858.3333,1790171.3333
a280,sa,chain,64,128,128,,300000,3,2579,2766,7.2509,366.9503,2.1923,1.0000,,3590718.3333,1781103.6667
a280,sa,candidate,64,128,128,best,300000,6,2579,2579,0.0000,889.1128,25.6715,0.4127,,6931513.6667,2993948.6667
a280,sa,candidate,64,128,128,random,300000,6,2579,2749,6.5917,608.9413,32.4719,0.6026,,3590558.3333,1781160.6667
berlin52,qlsa,chain,64,128,128,,300000,3,7542,7542,0.0000,568.7287,4.1442,1.0000,0.7234,1967257.6667,905205.3333
berlin52,qlsa,candidate,64,128,128,best,300000,6,7542,7542,0.0000,1326.8860,80.1178,0.4286,0.3101,18108375.3333,554626.3333
berlin52,qlsa,candidate,64,128,128,random,300000,6,7542,7542,0.0000,816.0577,9.4234,0.6969,0.5042,1967668.3333,904141.0000
berlin52,sa,chain,64,128,128,,300000,3,7542,7542,0.0000,294.2277,9.7946,1.0000,0.6879,1790990.3333,877142.0000
berlin52,sa,candidate,64,128,128,best,300000,6,7542,7542,0.0000,867.6718,18.1368,0.3391,0.2333,7682400.0000,2375391.6667
berlin52,sa,candidate,64,128,128,random,300000,6,7542,7542,0.0000,570.9175,6.0400,0.5154,0.3545,1789235.3333,876766.0000
lin318,qlsa,chain,64,128,128,,300000,3,42029,44818,6.6359,616.5700,7.0151,1.0000,,607136.0000,302800.0000
lin318,qlsa,candidate,64,128,128,best,300000,6,42029,42208,0.4259,1466.1027,246.9554,0.4206,,8709623.6667,1387158.0000
lin318,qlsa,candidate,64,128,128,random,300000,6,42029,44900,6.8310,908.2948,6.9530,0.6788,,606283.6667,302950.3333
lin318,sa,chain,64,128,128,,300000,3,42029,44864,6.7453,326.6177,1.0910,1.0000,,553824.3333,290874.6667
lin318,sa,candidate,64,128,128,best,300000,6,42029,42205,0.4188,894.5818,8.6025,0.3651,,3479097.0000,1693393.3333
lin318,sa,candidate,64,128,128,random,300000,6,42029,45111,7.3330,598.8335,2.7835,0.5454,,554906.0000,291633.6667
rat575,qlsa,chain,64,128,128,,300000,3,6773,8103,19.6368,729.9123,2.6640,1.0000,,3073884.0000,1549855.0000
rat575,qlsa,candidate,64,128,128,best,300000,6,6773,6951,2.6281,1652.8787,384.6029,0.4416,,9758276.3333,2684722.6667
rat575,qlsa,candidate,64,128,128,random,300000,6,6773,8197,21.0247,1056.8762,68.9537,0.6906,,3074476.6667,1550630.6667
rat575,sa,chain,64,128,128,,300000,3,6773,8576,26.6204,421.0127,1.5359,1.0000,,3042700.6667,1541696.6667
rat575,sa,candidate,64,128,128,best,300000,6,6773,6977,3.0120,933.4095,50.8744,0.4510,,6131960.0000,2886162.6667
rat575,sa,candidate,64,128,128,random,300000,6,6773,8605,27.0486,644.6417,57.6690,0.6531,,3043112.0000,1542419.0000
