instance,dimension,algorithm,cuda_mode,cuda_reversal_mode,chains,cuda_block_size,cuda_candidates_per_iter,iterations,runs,bks,best_length_min,gap_min_percent,elapsed_ms_mean,elapsed_ms_std,accepted_moves_mean,improved_moves_mean
a280,280,qlsa-cuda-candidate,candidate,parallel,64,64,32,200000,2,2579,2605,1.0081,775.7865,1.2445,4504499.5000,1896370.0000
a280,280,qlsa-cuda-candidate,candidate,parallel,64,64,64,200000,2,2579,2583,0.1551,750.6670,13.9990,5723689.0000,1824615.5000
a280,280,qlsa-cuda-candidate,candidate,parallel,64,128,32,200000,2,2579,2605,1.0081,793.5850,0.9210,4504499.5000,1896370.0000
a280,280,qlsa-cuda-candidate,candidate,parallel,64,128,64,200000,2,2579,2583,0.1551,726.0880,1.0610,5723689.0000,1824615.5000
a280,280,qlsa-cuda-candidate,candidate,parallel,64,128,128,200000,2,2579,2585,0.2326,814.1125,2.4395,9253878.5000,1538456.0000
a280,280,qlsa-cuda-candidate,candidate,serial,64,64,32,200000,2,2579,2605,1.0081,883.2030,2.5080,4504499.5000,1896370.0000
a280,280,qlsa-cuda-candidate,candidate,serial,64,64,64,200000,2,2579,2583,0.1551,1003.0190,44.5990,5723689.0000,1824615.5000
a280,280,qlsa-cuda-candidate,candidate,serial,64,128,32,200000,2,2579,2605,1.0081,917.9720,5.4520,4504499.5000,1896370.0000
a280,280,qlsa-cuda-candidate,candidate,serial,64,128,64,200000,2,2579,2583,0.1551,1016.9605,31.9455,5723689.0000,1824615.5000
a280,280,qlsa-cuda-candidate,candidate,serial,64,128,128,200000,2,2579,2585,0.2326,1209.1710,7.0660,9253878.5000,1538456.0000
a280,280,sa-cuda-candidate,candidate,parallel,64,64,32,200000,2,2579,2599,0.7755,503.1720,14.4380,3980387.0000,1898927.0000
a280,280,sa-cuda-candidate,candidate,parallel,64,64,64,200000,2,2579,2585,0.2326,545.1030,6.7080,4297547.5000,1968505.0000
a280,280,sa-cuda-candidate,candidate,parallel,64,128,32,200000,2,2579,2599,0.7755,557.5195,11.6845,3980387.0000,1898927.0000
a280,280,sa-cuda-candidate,candidate,parallel,64,128,64,200000,2,2579,2585,0.2326,522.4305,0.6855,4297547.5000,1968505.0000
a280,280,sa-cuda-candidate,candidate,parallel,64,128,128,200000,2,2579,2581,0.0775,586.7790,15.4030,4630659.0000,1997793.0000
a280,280,sa-cuda-candidate,candidate,serial,64,64,32,200000,2,2579,2599,0.7755,522.9920,0.7010,3980387.0000,1898927.0000
