instance,dimension,algorithm,cuda_mode,cuda_reversal_mode,chains,block_size,candidates_per_iter,iterations,runs,bks,best_length_min,gap_min_percent,elapsed_ms_mean,elapsed_ms_std,accepted_moves_mean,improved_moves_mean
a280,280,qlsa-cuda-candidate,candidate,parallel,64,128,128,500000,3,2579,2579,0.0000,1985.0100,6.0091,23215832.0000,3818004.0000
a280,280,qlsa-cuda-candidate,candidate,serial,64,128,128,500000,3,2579,2579,0.0000,2951.8377,1.4536,23215832.0000,3818004.0000
a280,280,qlsa-cuda-chain,chain,serial,64,128,128,500000,3,2579,2739,6.2040,1153.3190,41.3876,6034237.0000,2951971.3333
a280,280,sa-cuda-candidate,candidate,parallel,64,128,128,500000,3,2579,2579,0.0000,1512.6417,59.3835,11529840.0000,4983975.6667
a280,280,sa-cuda-candidate,candidate,serial,64,128,128,500000,3,2579,2579,0.0000,1574.8533,11.3017,11529840.0000,4983975.6667
a280,280,sa-cuda-chain,chain,serial,64,128,128,500000,3,2579,2741,6.2815,656.7047,3.7919,5937252.3333,2934628.6667
berlin52,52,qlsa-cuda-candidate,candidate,parallel,64,128,128,500000,3,7542,7542,0.0000,2105.4867,41.8991,30179775.6667,918005.3333
berlin52,52,qlsa-cuda-candidate,candidate,serial,64,128,128,500000,3,7542,7542,0.0000,2400.0500,3.6102,30179775.6667,918005.3333
berlin52,52,qlsa-cuda-chain,chain,serial,64,128,128,500000,3,7542,7542,0.0000,972.3643,0.9530,3267452.6667,1503946.6667
berlin52,52,sa-cuda-candidate,candidate,parallel,64,128,128,500000,3,7542,7542,0.0000,1471.3747,22.0157,12847658.3333,3983182.3333
berlin52,52,sa-cuda-candidate,candidate,serial,64,128,128,500000,3,7542,7542,0.0000,1518.8570,31.9923,12847658.3333,3983182.3333
berlin52,52,sa-cuda-chain,chain,serial,64,128,128,500000,3,7542,7542,0.0000,483.9917,5.3546,2975801.3333,1456777.3333
ch130,130,qlsa-cuda-candidate,candidate,parallel,64,128,128,500000,3,6110,6110,0.0000,2046.8920,25.5377,28129092.6667,2113567.3333
ch130,130,qlsa-cuda-candidate,candidate,serial,64,128,128,500000,3,6110,6110,0.0000,2728.9450,22.2326,28129092.6667,2113567.3333
ch130,130,qlsa-cuda-chain,chain,serial,64,128,128,500000,3,6110,6171,0.9984,992.1180,3.7880,3776115.0000,1825935.0000
ch130,130,sa-cuda-candidate,candidate,parallel,64,128,128,500000,3,6110,6110,0.0000,1363.9870,2.6183,10179912.6667,4459185.0000
ch130,130,sa-cuda-candidate,candidate,serial,64,128,128,500000,3,6110,6110,0.0000,1405.4387,5.4673,10179912.6667,4459185.0000
ch130,130,sa-cuda-chain,chain,serial,64,128,128,500000,3,6110,6176,1.0802,530.7443,1.1268,3627274.0000,1801568.0000
eil101,101,qlsa-cuda-candidate,candidate,parallel,64,128,128,500000,3,629,629,0.0000,2072.5657,84.4777,29867220.3333,2173233.3333
eil101,101,qlsa-cuda-candidate,candidate,serial,64,128,128,500000,3,629,629,0.0000,2586.6643,38.9838,29867220.3333,2173233.3333
eil101,101,qlsa-cuda-chain,chain,serial,64,128,128,500000,3,629,637,1.2719,1073.3913,34.2078,9050145.6667,4276721.0000
eil101,101,sa-cuda-candidate,candidate,parallel,64,128,128,500000,3,629,629,0.0000,1367.9687,10.6107,15967196.0000,5506365.0000
eil101,101,sa-cuda-candidate,candidate,serial,64,128,128,500000,3,629,629,0.0000,1416.2903,1.2671,15967196.0000,5506365.0000
eil101,101,sa-cuda-chain,chain,serial,64,128,128,500000,3,629,640,1.7488,507.7047,0.6839,8889480.6667,4275688.6667
