instance,family,variant,config_name,iterations,chains,threads,parallel,t0,tf,alpha,gamma,epsilon,policy,runs,bks,best_length_min,best_length_mean,gap_percent_min,gap_percent_mean,elapsed_ms_mean,elapsed_ms_std,accepted_moves_mean,improved_moves_mean,score
eil101,qlsa,tuned-high-budget,eil101-qlsa-tuned-high-budget-it1000000-c64,1000000,64,8,omp,1000,0.001,0.1,0.8,0.05,epsilon-greedy,5,629,629,635.200000,0.000000,0.985692,723.189600,70.416224,18052380.600000,8544270.400000,0.723190
eil101,qlsa,tuned-high-budget,eil101-qlsa-tuned-high-budget-it1000000-c128,1000000,128,8,omp,1000,0.001,0.1,0.8,0.05,epsilon-greedy,5,629,629,633.000000,0.000000,0.635930,1537.426000,133.685976,36114352.800000,17090942.600000,1.537426
eil101,qlsa,tuned-high-budget,eil101-qlsa-tuned-high-budget-it2000000-c64,2000000,64,8,omp,1000,0.001,0.1,0.8,0.05,epsilon-greedy,5,629,630,632.400000,0.158983,0.540541,1502.426800,250.399078,36087889.800000,17076486.000000,1.661409
eil101,qlsa,tuned-high-budget,eil101-qlsa-tuned-high-budget-it2000000-c128,2000000,128,8,omp,1000,0.001,0.1,0.8,0.05,epsilon-greedy,5,629,629,630.400000,0.000000,0.222576,3097.565600,326.951590,72179640.600000,34152717.000000,3.097566
eil101,sa,tuned-high-budget,eil101-sa-tuned-high-budget-it1000000-c64,1000000,64,8,omp,100,0.001,,,,,5,629,632,637.400000,0.476948,1.335453,381.229400,4.249067,9023026.400000,4299374.600000,0.858177
eil101,sa,tuned-high-budget,eil101-sa-tuned-high-budget-it1000000-c128,1000000,128,8,omp,100,0.001,,,,,5,629,631,634.000000,0.317965,0.794913,729.832000,16.837241,18046945.400000,8597680.200000,1.047797
eil101,sa,tuned-high-budget,eil101-sa-tuned-high-budget-it2000000-c64,2000000,64,8,omp,100,0.001,,,,,5,629,630,633.600000,0.158983,0.731320,736.260800,23.245676,18020201.000000,8580887.000000,0.895243
eil101,sa,tuned-high-budget,eil101-sa-tuned-high-budget-it2000000-c128,2000000,128,8,omp,100,0.001,,,,,5,629,629,632.000000,0.000000,0.476948,1466.549600,23.733820,36041214.000000,17162274.400000,1.466550
rat99,qlsa,quality-first-high-budget,rat99-qlsa-quality-first-high-budget-it2000000-c64,2000000,64,8,omp,1000,0.001,0.2,0.95,0.2,epsilon-greedy,5,1211,1212,1213.800000,0.082576,0.231214,1506.278600,114.146080,27530570.400000,13139558.600000,1.588855
rat99,qlsa,quality-first-high-budget,rat99-qlsa-quality-first-high-budget-it2000000-c128,2000000,128,8,omp,1000,0.001,0.2,0.95,0.2,epsilon-greedy,5,1211,1212,1212.800000,0.082576,0.148637,2930.031600,402.216682,55054503.000000,26278720.600000,3.012608
rat99,qlsa,quality-first-high-budget,rat99-qlsa-quality-first-high-budget-it3000000-c64,3000000,64,8,omp,1000,0.001,0.2,0.95,0.2,epsilon-greedy,5,1211,1211,1212.800000,0.000000,0.148637,2273.360600,353.493216,41270493.000000,19704482.000000,2.273361
rat99,qlsa,quality-first-high-budget,rat99-qlsa-quality-first-high-budget-it3000000-c128,3000000,128,8,omp,1000,0.001,0.2,0.95,0.2,epsilon-greedy,5,1211,1211,1212.200000,0.000000,0.099092,6807.419000,4632.774143,82543894.400000,39407057.200000,6.807419
rat99,sa,tuned-high-budget,rat99-sa-tuned-high-budget-it1000000-c64,1000000,64,8,omp,3000,0.001,,,,,5,1211,1216,1219.200000,0.412882,0.677126,405.263600,4.609878,17041108.400000,8337423.600000,0.818146
rat99,sa,tuned-high-budget,rat99-sa-tuned-high-budget-it1000000-c128,1000000,128,8,omp,3000,0.001,,,,,5,1211,1216,1217.800000,0.412882,0.561519,837.704600,39.076103,34082999.400000,16674879.600000,1.250587
rat99,sa,tuned-high-budget,rat99-sa-tuned-high-budget-it2000000-c64,2000000,64,8,omp,3000,0.001,,,,,5,1211,1213,1215.600000,0.165153,0.379851,795.143200,19.401025,34058255.800000,16660509.400000,0.960296
rat99,sa,tuned-high-budget,rat99-sa-tuned-high-budget-it2000000-c128,2000000,128,8,omp,3000,0.001,,,,,5,1211,1212,1214.000000,0.082576,0.247729,1572.028000,24.505378,68117213.800000,33320666.000000,1.654604
