instance,tier,dimension,algorithm,iterations,chains,threads,repeat,bks,best_length_min,gap_min,gap_mean,elapsed_ms_mean,elapsed_ms_std,moves_per_second,accepted_moves_mean,improved_moves_mean
a280,L1,280,qlsa,1000000,64,8,3,2579,2692,4.3815,4.4332,926.2180,156.1647,69098203.66,11998163.0000,5857959.0000
a280,L1,280,sa,1000000,64,8,3,2579,2697,4.5754,5.1570,414.2440,37.3472,154498315.00,11798928.0000,5817289.0000
att532,L2,532,qlsa,1000000,64,8,3,27686,29732,7.3900,7.6380,929.3113,146.6345,68868201.33,4220688.3333,2097624.3333
att532,L2,532,sa,1000000,64,8,3,27686,29919,8.0654,8.5001,410.6907,7.1356,155835048.60,4034887.6667,2038693.3333
ch130,L1,130,qlsa,1000000,64,8,3,6110,6118,0.1309,0.7420,723.9073,105.3870,88409105.77,7511816.6667,3634083.0000
ch130,L1,130,sa,1000000,64,8,3,6110,6175,1.0638,1.1566,395.7357,12.0924,161724113.82,7223002.6667,3582104.0000
ch150,L1,150,qlsa,1000000,64,8,3,6528,6586,0.8885,1.3378,754.2040,78.9970,84857677.76,7405403.3333,3592482.0000
ch150,L1,150,sa,1000000,64,8,3,6528,6611,1.2714,1.6748,371.0020,5.5085,172505808.59,7144179.3333,3551881.0000
d198,L1,198,qlsa,1000000,64,8,3,15780,15897,0.7414,1.1027,751.8710,151.8851,85120984.85,5099052.3333,2451102.3333
d198,L1,198,sa,1000000,64,8,3,15780,15972,1.2167,1.2632,397.1793,6.1404,161136279.33,4564064.3333,2261294.0000
d493,L2,493,qlsa,1000000,64,8,3,35002,37571,7.3396,7.4672,783.6283,90.9379,81671370.57,4503288.6667,2231767.0000
d493,L2,493,sa,1000000,64,8,3,35002,37606,7.4396,7.7529,407.5970,4.3936,157017838.70,4317987.0000,2175237.0000
d657,L2,657,qlsa,1000000,64,8,3,48912,53708,9.8054,10.2661,835.7020,94.7004,76582322.41,2798771.3333,1411073.3333
d657,L2,657,sa,1000000,64,8,3,48912,54293,11.0014,11.7797,413.6207,17.4657,154731146.57,2705171.6667,1389040.3333
dsj1000,L3,1000,qlsa,1000000,64,8,3,18659688,20404246,9.3493,10.1531,1041.9563,180.3828,61422919.51,45319.0000,22057.6667
dsj1000,L3,1000,sa,1000000,64,8,3,18659688,20587788,10.3330,10.9202,536.1853,47.1072,119361713.24,20969.0000,20229.0000
gil262,L1,262,qlsa,1000000,64,8,3,2378,2469,3.8267,4.0510,957.5883,27.3730,66834565.31,12834983.3333,6254975.0000
gil262,L1,262,sa,1000000,64,8,3,2378,2470,3.8688,4.2192,439.7283,87.9654,145544408.10,12651922.3333,6232529.3333
kroA150,L1,150,qlsa,1000000,64,8,3,26524,26779,0.9614,1.2240,713.9007,54.1066,89648326.42,2221434.6667,1054782.0000
kroA150,L1,150,sa,1000000,64,8,3,26524,26879,1.3384,1.5596,389.6250,16.9132,164260506.90,1921020.0000,956960.0000
lin318,L2,318,qlsa,1000000,64,8,3,42029,43893,4.4350,4.8435,784.4167,88.9428,81589291.41,1913788.0000,925057.3333
lin318,L2,318,sa,1000000,64,8,3,42029,44218,5.2083,5.3804,376.4087,1.4154,170027966.06,1728067.6667,872685.6667
pcb442,L2,442,qlsa,1000000,64,8,3,50778,54363,7.0601,7.4599,940.5013,142.6913,68048813.68,1978147.0000,957518.3333
pcb442,L2,442,sa,1000000,64,8,3,50778,54036,6.4162,6.8868,395.7380,9.9359,161723160.27,1847099.6667,932489.6667
pr226,L1,226,qlsa,1000000,64,8,3,80369,80749,0.4728,0.6470,822.9097,116.0838,77772813.46,759914.3333,301809.0000
pr226,L1,226,sa,1000000,64,8,3,80369,80745,0.4678,0.5715,355.9627,17.8439,179794135.71,404032.0000,167740.6667
rat575,L2,575,qlsa,1000000,64,8,3,6773,7418,9.5231,9.8036,871.2457,73.5688,73458041.11,9916059.0000,4909620.6667
rat575,L2,575,sa,1000000,64,8,3,6773,7531,11.1915,11.7575,422.2327,7.2195,151575197.88,9811847.3333,4886852.0000
rat783,L2,783,qlsa,1000000,64,8,3,8806,10056,14.1949,14.6377,894.3817,154.9740,71557817.41,9322755.6667,4648205.6667
