instance,tier,dimension,algorithm,iterations,chains,threads,runs,bks,best_length_min,gap_min_percent,gap_mean_percent,elapsed_ms_mean,elapsed_ms_std,moves_per_second,accepted_moves_mean,improved_moves_mean
a280,L1,280,qlsa,1000000,64,8,3,2579,2692,4.3815,4.4332,768.4250,72.5866,83287243.39,11998163.0000,5857959.0000
a280,L1,280,sa,1000000,64,8,3,2579,2697,4.5754,5.1570,376.2657,8.1079,170092585.29,11798928.0000,5817289.0000
berlin52,custom,52,qlsa,1000000,64,8,3,7542,7542,0.0000,0.0000,654.0020,51.9791,97859027.95,6533504.3333,2999614.0000
berlin52,custom,52,sa,1000000,64,8,3,7542,7542,0.0000,0.0000,358.0967,4.8103,178722691.27,5940610.3333,2906068.6667
dsj1000,L3,1000,qlsa,1000000,64,8,3,18659688,20404246,9.3493,10.1531,920.2877,134.2991,69543472.46,45319.0000,22057.6667
dsj1000,L3,1000,sa,1000000,64,8,3,18659688,20587788,10.3330,10.9202,481.6643,2.7037,132872615.99,20969.0000,20229.0000
eil101,custom,101,qlsa,1000000,64,8,3,629,637,1.2719,1.3778,809.4010,82.3512,79070819.04,18082892.6667,8537906.0000
eil101,custom,101,sa,1000000,64,8,3,629,635,0.9539,1.2719,374.5517,10.2239,170870952.38,17756475.6667,8537012.6667
eil76,custom,76,qlsa,1000000,64,8,3,538,539,0.1859,0.6815,808.1073,96.8143,79197400.35,18222164.0000,8572224.0000
eil76,custom,76,sa,1000000,64,8,3,538,539,0.1859,0.1859,378.3287,4.9856,169165082.21,17875153.3333,8600252.6667
rat575,L2,575,qlsa,1000000,64,8,3,6773,7418,9.5231,9.8036,806.2183,139.1231,79382962.85,9916059.0000,4909620.6667
rat575,L2,575,sa,1000000,64,8,3,6773,7531,11.1915,11.7575,397.0057,9.8123,161206766.99,9811847.3333,4886852.0000
rat783,L2,783,qlsa,1000000,64,8,3,8806,10056,14.1949,14.6377,873.4657,94.3890,73271340.18,9322755.6667,4648205.6667
rat783,L2,783,sa,1000000,64,8,3,8806,10490,19.1233,19.7630,455.0883,17.9889,140632038.47,9245784.6667,4630432.3333
rat99,custom,99,qlsa,1000000,64,8,3,1211,1225,1.1561,1.2662,799.5163,76.1843,80048395.93,13734403.3333,6595770.6667
rat99,custom,99,sa,1000000,64,8,3,1211,1215,0.3303,0.9083,374.9320,11.9897,170697619.84,13392005.6667,6547739.3333
u1060,L3,1060,qlsa,1000000,64,8,3,224094,267347,19.3013,19.5934,908.4663,93.7817,70448400.40,521704.3333,293106.3333
u1060,L3,1060,sa,1000000,64,8,3,224094,286004,27.6268,28.1296,435.6500,15.1739,146906920.69,376767.0000,227563.3333
vm1084,L3,1084,qlsa,1000000,64,8,3,239297,283661,18.5393,19.1172,878.9443,82.2357,72814622.69,409318.3333,213688.3333
vm1084,L3,1084,sa,1000000,64,8,3,239297,299804,25.2853,25.6485,457.4897,3.6980,139893870.10,270182.3333,153790.3333
