instance,tier,algorithm,np,threads_per_rank,chains,iterations,repeat,bks,best_length_min,gap_min,elapsed_ms_mean,speedup_vs_np1,efficiency,communication_ms_mean
a280,L1,qlsa,1,2,64,300000,3,2579,2759,6.9794,4265.6100,1.0000,1.0000,0.0087
a280,L1,qlsa,1,4,64,300000,3,2579,2759,6.9794,4383.0417,1.0000,1.0000,0.0127
a280,L1,qlsa,2,2,64,300000,3,2579,2759,6.9794,2101.1787,2.0301,1.0151,5.0093
a280,L1,qlsa,2,4,64,300000,3,2579,2759,6.9794,2092.4957,2.0946,1.0473,5.2833
a280,L1,sa,1,2,64,300000,3,2579,2780,7.7937,2890.8390,1.0000,1.0000,0.0077
a280,L1,sa,1,4,64,300000,3,2579,2780,7.7937,2985.5847,1.0000,1.0000,0.0117
a280,L1,sa,2,2,64,300000,3,2579,2780,7.7937,1494.9563,1.9337,0.9669,7.0283
a280,L1,sa,2,4,64,300000,3,2579,2780,7.7937,1456.0077,2.0505,1.0253,6.3813
ch130,L1,qlsa,1,2,64,300000,3,6110,6226,1.8985,4542.1443,1.0000,1.0000,0.0177
ch130,L1,qlsa,1,4,64,300000,3,6110,6226,1.8985,4305.7630,1.0000,1.0000,0.0093
ch130,L1,qlsa,2,2,64,300000,3,6110,6226,1.8985,2114.3800,2.1482,1.0741,5.3990
ch130,L1,qlsa,2,4,64,300000,3,6110,6226,1.8985,2109.8130,2.0408,1.0204,11.1020
ch130,L1,sa,1,2,64,300000,3,6110,6214,1.7021,2781.4767,1.0000,1.0000,0.0127
ch130,L1,sa,1,4,64,300000,3,6110,6214,1.7021,2798.6043,1.0000,1.0000,0.0190
ch130,L1,sa,2,2,64,300000,3,6110,6214,1.7021,1406.4467,1.9777,0.9888,6.6750
ch130,L1,sa,2,4,64,300000,3,6110,6214,1.7021,1507.1857,1.8568,0.9284,10.0617
