instance,tier,dimension,algorithm,iterations,chains,threads,repeat,bks,best_length_min,gap_min,gap_mean,elapsed_ms_mean,elapsed_ms_std,moves_per_second,accepted_moves_mean,improved_moves_mean
a280,L1,280,qlsa,1000000,64,8,3,2579,2692,4.3815,4.4332,740.6820,74.6249,86406852.06,11998163.0000,5857959.0000
a280,L1,280,sa,1000000,64,8,3,2579,2697,4.5754,5.1570,364.3707,6.2419,175645313.56,11798928.0000,5817289.0000
ch130,L1,130,qlsa,1000000,64,8,3,6110,6118,0.1309,0.7420,683.6913,95.9035,93609494.34,7511816.6667,3634083.0000
ch130,L1,130,sa,1000000,64,8,3,6110,6175,1.0638,1.1566,341.4833,9.4353,187417638.73,7223002.6667,3582104.0000
ch150,L1,150,qlsa,1000000,64,8,3,6528,6586,0.8885,1.3378,776.0880,96.0498,82464875.12,7405403.3333,3592482.0000
ch150,L1,150,sa,1000000,64,8,3,6528,6611,1.2714,1.6748,354.9023,3.5301,180331302.41,7144179.3333,3551881.0000
d198,L1,198,qlsa,1000000,64,8,3,15780,15897,0.7414,1.1027,741.3800,41.5581,86325501.09,5099052.3333,2451102.3333
d198,L1,198,sa,1000000,64,8,3,15780,15972,1.2167,1.2632,343.5793,11.3553,186274300.55,4564064.3333,2261294.0000
gil262,L1,262,qlsa,1000000,64,8,3,2378,2469,3.8267,4.0510,703.9750,82.5227,90912319.33,12834983.3333,6254975.0000
gil262,L1,262,sa,1000000,64,8,3,2378,2470,3.8688,4.2192,375.5480,5.0218,170417629.70,12651922.3333,6232529.3333
kroA150,L1,150,qlsa,1000000,64,8,3,26524,26779,0.9614,1.2240,691.2490,71.2259,92586029.06,2221434.6667,1054782.0000
kroA150,L1,150,sa,1000000,64,8,3,26524,26879,1.3384,1.5596,336.8127,12.4187,190016606.66,1921020.0000,956960.0000
pr226,L1,226,qlsa,1000000,64,8,3,80369,80749,0.4728,0.6470,672.8357,97.7912,95119808.85,759914.3333,301809.0000
pr226,L1,226,sa,1000000,64,8,3,80369,80745,0.4678,0.5715,341.8483,2.8651,187217528.24,404032.0000,167740.6667
tsp225,L1,225,qlsa,1000000,64,8,3,3916,4063,3.7538,3.9581,693.2013,86.9425,92325269.62,10283975.0000,5024790.6667
tsp225,L1,225,sa,1000000,64,8,3,3916,4070,3.9326,4.0347,356.2060,8.3531,179671313.79,10072927.0000,4986690.3333
