instance,algorithm,chains,threads,iterations,runs,bks,best_length_min,gap_percent,elapsed_ms_mean,elapsed_ms_std,speedup,parallel_efficiency_percent,accepted_moves_mean,improved_moves_mean
a280,qlsa-omp,64,1,500000,3,,2749,0.000000,2091.117667,63.255330,1.000000,100.000000,6032907.666667,2950964.333333
a280,qlsa-omp,64,2,500000,3,,2749,0.000000,1215.628667,26.911835,1.720194,86.009722,6032907.666667,2950964.333333
a280,qlsa-omp,64,4,500000,3,,2749,0.000000,612.110333,42.786905,3.416243,85.406076,6032907.666667,2950964.333333
a280,qlsa-omp,64,8,500000,3,,2749,0.000000,434.361000,18.862374,4.814239,60.177988,6032907.666667,2950964.333333
a280,qlsa-omp,64,12,500000,3,,2749,0.000000,331.884667,39.321772,6.300736,52.506133,6032907.666667,2950964.333333
a280,sa-omp,64,1,500000,3,,2745,0.000000,1114.347000,45.487880,1.000000,100.000000,5937188.666667,2933738.333333
a280,sa-omp,64,2,500000,3,,2745,0.000000,553.095667,8.176220,2.014745,100.737275,5937188.666667,2933738.333333
a280,sa-omp,64,4,500000,3,,2745,0.000000,307.293000,18.356279,3.626334,90.658346,5937188.666667,2933738.333333
a280,sa-omp,64,8,500000,3,,2745,0.000000,194.558000,7.395931,5.727583,71.594782,5937188.666667,2933738.333333
a280,sa-omp,64,12,500000,3,,2745,0.000000,163.494667,9.446933,6.815800,56.798336,5937188.666667,2933738.333333
rat575,qlsa-omp,64,1,500000,3,,7656,0.000000,2545.220667,71.375448,1.000000,100.000000,5030470.000000,2511663.000000
rat575,qlsa-omp,64,2,500000,3,,7656,0.000000,1375.800000,91.199966,1.849993,92.499661,5030470.000000,2511663.000000
rat575,qlsa-omp,64,4,500000,3,,7656,0.000000,806.814333,52.261282,3.154655,78.866369,5030470.000000,2511663.000000
rat575,qlsa-omp,64,8,500000,3,,7656,0.000000,428.443333,60.415153,5.940624,74.257798,5030470.000000,2511663.000000
rat575,qlsa-omp,64,12,500000,3,,7656,0.000000,337.701667,23.557686,7.536891,62.807425,5030470.000000,2511663.000000
rat575,sa-omp,64,1,500000,3,,8104,0.000000,1149.416333,19.223925,1.000000,100.000000,4978373.000000,2498662.000000
rat575,sa-omp,64,2,500000,3,,8104,0.000000,638.747000,11.450833,1.799486,89.974304,4978373.000000,2498662.000000
rat575,sa-omp,64,4,500000,3,,8104,0.000000,364.404000,16.303402,3.154236,78.855908,4978373.000000,2498662.000000
rat575,sa-omp,64,8,500000,3,,8104,0.000000,222.944000,21.683142,5.155628,64.445350,4978373.000000,2498662.000000
rat575,sa-omp,64,12,500000,3,,8104,0.000000,174.979000,5.879765,6.568882,54.740680,4978373.000000,2498662.000000
