config,lang,instance,bks,runs,iterations,best_length_min,gap_min_percent,elapsed_ms_mean,elapsed_ms_min
python-sa,python,berlin52,7542,3,100000,8006,6.1522,91.576,84.719
python-sa,python,eil76,538,3,100000,559,3.9033,91.498,89.143
python-sa,python,rat99,1211,3,100000,1253,3.4682,154.662,151.803
python-sa,python,eil101,629,3,100000,669,6.3593,190.740,158.499
python-qlsa-paper,python,berlin52,7542,3,100000,7918,4.9854,503.216,491.136
python-qlsa-paper,python,eil76,538,3,100000,551,2.4164,547.216,540.132
python-qlsa-paper,python,rat99,1211,3,100000,1297,7.1016,1354.689,1328.318
python-qlsa-paper,python,eil101,629,3,100000,653,3.8156,1291.166,1264.725
python-sb-qlsa,python,berlin52,7542,3,100000,7984,5.8605,691.854,686.483
python-sb-qlsa,python,eil76,538,3,100000,556,3.3457,960.191,834.729
python-sb-qlsa,python,rat99,1211,3,100000,1263,4.2940,2001.935,1980.839
python-sb-qlsa,python,eil101,629,3,100000,649,3.1797,2105.457,2036.614
cpp-sa-serial,cpp,berlin52,7542,3,100000,7890,4.6142,3.055,3.018
cpp-sa-serial,cpp,eil76,538,3,100000,564,4.8327,3.251,3.222
cpp-sa-serial,cpp,rat99,1211,3,100000,1288,6.3584,3.230,3.212
cpp-sa-serial,cpp,eil101,629,3,100000,667,6.0413,3.295,3.287
cpp-qlsa-serial,cpp,berlin52,7542,3,100000,7903,4.7865,6.155,6.117
cpp-qlsa-serial,cpp,eil76,538,3,100000,565,5.0186,6.626,6.474
cpp-qlsa-serial,cpp,rat99,1211,3,100000,1293,6.7713,6.461,6.342
cpp-qlsa-serial,cpp,eil101,629,3,100000,663,5.4054,6.549,6.535
cpp-sa-omp,cpp,berlin52,7542,3,100000,7542,0.0000,25.168,19.452
cpp-sa-omp,cpp,eil76,538,3,100000,552,2.6022,20.702,20.266
cpp-sa-omp,cpp,rat99,1211,3,100000,1238,2.2296,20.341,20.072
cpp-sa-omp,cpp,eil101,629,3,100000,653,3.8156,21.093,20.379
cpp-qlsa-omp,cpp,berlin52,7542,3,100000,7542,0.0000,35.955,33.463
cpp-qlsa-omp,cpp,eil76,538,3,100000,555,3.1599,39.379,36.571
cpp-qlsa-omp,cpp,rat99,1211,3,100000,1261,4.1288,42.992,37.745
cpp-qlsa-omp,cpp,eil101,629,3,100000,653,3.8156,39.266,35.623
