instance,algorithm,parallel,chains,threads,iterations,t0,tf,alpha,gamma,epsilon,policy,tuning_stage,runs,bks,best_length_min,best_length_mean,gap_percent,elapsed_ms_mean,elapsed_ms_std,score,speedup_vs_previous_baseline,accepted_moves_mean,improved_moves_mean
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,629,635.333333,0.000000,368.345333,44.033078,0.368345,1.209472,9028013.333333,4273192.666667
eil101,qlsa-omp,omp,32,8,1000000,300,0.001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,629,637.333333,0.000000,383.912000,26.308194,0.383912,1.160431,6895449.333333,3242221.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage1,3,629,629,635.333333,0.000000,405.137667,74.777568,0.405138,1.099634,9028013.333333,4273192.666667
eil101,qlsa-omp,omp,32,8,2000000,300,0.0001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,629,631.666667,0.000000,705.099000,89.167141,0.705099,0.631831,11698963.000000,5477116.000000
eil101,qlsa-omp,omp,32,8,2000000,1000,0.001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,629,633.666667,0.000000,711.587000,104.408538,0.711587,0.626070,18062283.000000,8537591.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage1,3,629,630,637.666667,0.158983,364.170667,54.891674,0.523153,1.223337,9036151.666667,4271684.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,630,637.666667,0.158983,388.643333,62.513662,0.547626,1.146304,9036151.666667,4271684.666667
eil101,qlsa-omp,omp,32,8,2000000,3000,0.0001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,630,633.666667,0.158983,731.479000,117.297408,0.890462,0.609045,18562354.000000,8804048.333333
eil101,qlsa-omp,omp,32,8,2000000,1000,0.001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage2,3,629,630,631.333333,0.158983,764.063000,78.807987,0.923046,0.583071,18066086.666667,8533565.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage1,3,629,631,635.000000,0.317965,354.021333,42.025856,0.671986,1.258408,9041770.666667,4270596.333333
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage2,3,629,631,635.000000,0.317965,416.802000,52.849143,0.734767,1.068861,9041770.666667,4270596.333333
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.9,0.05,epsilon-greedy,qlsa-stage1,3,629,631,636.000000,0.317965,427.880667,24.431112,0.745846,1.041186,9028671.000000,4274784.000000
eil101,qlsa-omp,omp,32,8,2000000,300,0.001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,631,634.666667,0.317965,815.634000,127.089793,1.133599,0.546205,13778016.000000,6477196.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.2,0.9,0.05,epsilon-greedy,qlsa-stage1,3,629,632,635.666667,0.476948,352.803667,40.123792,0.829751,1.262751,9034299.000000,4270001.333333
eil101,qlsa-omp,omp,32,8,1000000,300,0.0001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,632,636.333333,0.476948,357.379333,49.164172,0.834327,1.246584,5845176.666667,2741284.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.8,0.2,epsilon-greedy,qlsa-stage1,3,629,632,636.000000,0.476948,382.165667,32.424979,0.859113,1.165734,9044473.666667,4265606.000000
eil101,qlsa-omp,omp,32,8,1000000,3000,0.001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,632,639.333333,0.476948,382.942667,88.613215,0.859890,1.163368,10707674.333333,5082577.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.95,0.1,softmax,qlsa-stage1,3,629,632,637.333333,0.476948,632.088333,9.343693,1.109036,0.704812,9056279.333333,4275225.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.95,0.05,softmax,qlsa-stage1,3,629,632,637.333333,0.476948,643.137333,4.097782,1.120085,0.692703,9056279.333333,4275225.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.95,0.2,softmax,qlsa-stage1,3,629,632,637.333333,0.476948,652.253000,19.637213,1.129201,0.683022,9056279.333333,4275225.000000
eil101,qlsa-omp,omp,32,8,2000000,3000,0.0001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,632,634.000000,0.476948,743.233000,116.293971,1.220181,0.599413,18574043.333333,8802274.666667
eil101,qlsa-omp,omp,32,8,2000000,3000,0.001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,632,633.333333,0.476948,753.835000,141.082373,1.230783,0.590983,21412015.000000,10159692.333333
eil101,qlsa-omp,omp,32,8,2000000,300,0.0001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage2,3,629,632,633.000000,0.476948,771.098667,97.595895,1.248046,0.577751,11711162.000000,5474704.000000
eil101,qlsa-omp,omp,32,8,2000000,1000,0.0001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,632,633.666667,0.476948,776.677667,139.875123,1.253625,0.573601,15496289.666667,7320059.666667
eil101,qlsa-omp,omp,32,8,2000000,1000,0.0001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,632,635.666667,0.476948,797.209667,86.563945,1.274157,0.558828,15509559.000000,7317551.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.0001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,633,635.000000,0.635930,337.774333,13.347101,0.973704,1.318938,7755735.333333,3662196.000000
eil101,qlsa-omp,omp,32,8,1000000,3000,0.0001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,633,637.666667,0.635930,352.603333,36.468394,0.988533,1.263469,9288973.333333,4404392.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.8,0.1,epsilon-greedy,qlsa-stage1,3,629,633,636.666667,0.635930,376.338333,40.004516,1.012268,1.183784,9026635.333333,4270379.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.8,0.05,epsilon-greedy,qlsa-stage1,3,629,633,636.666667,0.635930,388.326667,59.371008,1.024257,1.147239,9027166.666667,4273433.333333
eil101,qlsa-omp,omp,32,8,1000000,300,0.001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,633,636.666667,0.635930,393.290333,28.949566,1.029220,1.132759,6898937.333333,3240447.666667
eil101,qlsa-omp,omp,32,8,1000000,3000,0.001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage2,3,629,633,636.333333,0.635930,398.074667,51.635187,1.034005,1.119145,10714359.333333,5080012.666667
eil101,qlsa-omp,omp,32,8,1000000,300,0.001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage2,3,629,633,634.333333,0.635930,408.902667,36.288882,1.044833,1.089509,6906899.000000,3237722.333333
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.2,0.95,0.2,epsilon-greedy,qlsa-stage1,3,629,633,638.333333,0.635930,419.275667,55.103853,1.055206,1.062555,9058836.666667,4263202.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.95,0.1,softmax,qlsa-stage1,3,629,633,637.000000,0.635930,652.978333,15.424677,1.288908,0.682264,9040334.000000,4278188.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.95,0.2,softmax,qlsa-stage1,3,629,633,637.000000,0.635930,654.737000,17.933395,1.290667,0.680431,9040334.000000,4278188.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.95,0.05,softmax,qlsa-stage1,3,629,633,637.000000,0.635930,659.251667,27.632761,1.295182,0.675771,9040334.000000,4278188.000000
eil101,qlsa-omp,omp,32,8,2000000,3000,0.0001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage2,3,629,633,636.666667,0.635930,728.985667,97.929979,1.364916,0.611128,18586709.333333,8797042.666667
eil101,qlsa-omp,omp,32,8,2000000,300,0.001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,633,633.666667,0.635930,731.746667,105.619368,1.367677,0.608822,13786250.333333,6473489.000000
eil101,qlsa-omp,omp,32,8,2000000,300,0.001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage2,3,629,633,633.333333,0.635930,761.880667,66.490118,1.397811,0.584742,13793943.000000,6472805.000000
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.2,0.9,0.1,epsilon-greedy,qlsa-stage1,3,629,634,637.333333,0.794913,361.412000,43.634182,1.156325,1.232674,9040572.333333,4267625.333333
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.95,0.2,epsilon-greedy,qlsa-stage1,3,629,634,638.666667,0.794913,364.046000,32.556018,1.158959,1.223756,9052740.666667,4264262.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.8,0.2,softmax,qlsa-stage1,3,629,634,638.666667,0.794913,615.189333,7.978805,1.410102,0.724173,9062202.000000,4263566.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.8,0.05,softmax,qlsa-stage1,3,629,634,638.666667,0.794913,636.658667,9.023959,1.431571,0.699752,9062202.000000,4263566.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.9,0.2,softmax,qlsa-stage1,3,629,634,635.666667,0.794913,661.378000,21.667677,1.456291,0.673599,9067406.333333,4271680.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.8,0.1,softmax,qlsa-stage1,3,629,634,638.666667,0.794913,663.265000,20.311178,1.458178,0.671682,9062202.000000,4263566.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.9,0.05,softmax,qlsa-stage1,3,629,634,635.666667,0.794913,664.819333,23.547203,1.459732,0.670112,9067406.333333,4271680.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.05,0.9,0.1,softmax,qlsa-stage1,3,629,634,635.666667,0.794913,675.354333,25.525460,1.470267,0.659659,9067406.333333,4271680.666667
eil101,qlsa-omp,omp,32,8,2000000,300,0.0001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,634,635.000000,0.794913,677.505667,43.748483,1.472418,0.657564,11672444.000000,5478712.000000
eil101,qlsa-omp,omp,32,8,2000000,1000,0.0001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage2,3,629,634,635.333333,0.794913,698.750333,68.845964,1.493663,0.637572,15514622.333333,7315227.666667
eil101,qlsa-omp,omp,32,8,2000000,1000,0.001,0.1,0.8,0.05,epsilon-greedy,qlsa-stage2,3,629,634,636.333333,0.794913,764.975333,93.210030,1.559888,0.582376,18039562.666667,8540351.333333
eil101,qlsa-omp,omp,32,8,2000000,3000,0.001,0.1,0.8,0.1,epsilon-greedy,qlsa-stage2,3,629,634,635.333333,0.794913,784.727000,114.214660,1.579640,0.567718,21415476.666667,10156407.333333
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.2,0.8,0.2,epsilon-greedy,qlsa-stage1,3,629,635,639.666667,0.953895,370.644667,16.873139,1.324540,1.201969,9055554.333333,4263274.666667
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.8,0.2,epsilon-greedy,qlsa-stage1,3,629,635,637.666667,0.953895,376.394000,58.055143,1.330289,1.183609,9047402.000000,4264350.333333
eil101,qlsa-omp,omp,32,8,1000000,1000,0.001,0.1,0.95,0.1,epsilon-greedy,qlsa-stage1,3,629,635,638.333333,0.953895,378.938333,73.148984,1.332833,1.175662,9039262.333333,4268592.000000
eil101,qlsa-omp,omp,32,8,1000000,3000,0.001,0.05,0.95,0.1,epsilon-greedy,qlsa-stage2,3,629,635,638.333333,0.953895,391.094667,83.582542,1.344990,1.139119,10713738.666667,5082881.666667
