instance,algorithm,iteration_budget,seed,best_length,final_length,elapsed_ms,accepted_moves,improved_moves
berlin52,sa,10000,1,8338,8338,0.319,1020,531
berlin52,sa,30000,1,8055,8055,0.932,2834,1401
berlin52,sa,100000,1,8053,8053,3.089,9450,4576
berlin52,sa,300000,1,7596,7596,9.124,27720,13543
berlin52,sa,1000000,1,7542,7542,32.555,93283,45723
berlin52,qlsa,10000,1,8439,8439,0.652,1097,540
berlin52,qlsa,30000,1,8241,8241,1.852,3179,1431
berlin52,qlsa,100000,1,7903,7903,7.003,10491,4823
berlin52,qlsa,300000,1,7542,7542,20.066,29821,14024
berlin52,qlsa,1000000,1,7542,7542,67.889,100305,46562
