instance,algorithm,iteration_budget,seed,best_length,final_length,elapsed_ms,accepted_moves,improved_moves
rat99,sa,10000,1,1554,1571,0.352,2326,1191
rat99,sa,30000,1,1338,1338,1.388,6613,3297
rat99,sa,100000,1,1332,1332,4.117,21322,10424
rat99,sa,300000,1,1264,1265,10.177,62866,30691
rat99,sa,1000000,1,1266,1266,32.904,209120,102515
rat99,qlsa,10000,1,1434,1434,0.662,2414,1255
rat99,qlsa,30000,1,1369,1369,2.297,6913,3401
rat99,qlsa,100000,1,1293,1293,6.521,21844,10457
rat99,qlsa,300000,1,1274,1274,19.805,64185,30980
rat99,qlsa,1000000,1,1250,1250,74.334,214575,103131
